PK19XXR25392269503727898	65092468F	364.68	DKK

	EUR	
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	CHF	
IT44U2903617084Y19H207T8BFC	74853928Z	DKK	893.92
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	158.93	EUR
SK7685939604189549058799	15449763L	145.65	GBP
VG30C0J46457487530434592	74853928Z	EUR	
FR6886408378912CSCX6FNQDF88	46431533F	CHF	552.95
MD305P5NPXCZUJLRCMTKK88D	46585803Q	898.1	CHF
GR472662377QRYWJJB76MDKWVY5	69578568A	586.92	GBP
	79.23	RUB
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	RUB	212.93
SA916624X9GG21M3UBMKVPVX	39670968Q		310.64
HR4850788821598398500	34712164N	195.72	DKK
	297.06	RUB
CY1226960690HWXS17VH1FRUEURR	38871658W	590.68	SEK
IR978633059983370222138180	02669410F	472.47	GBP

IT44U2903617084Y19H207T8BFC	74853928Z	DKK	254.55
Ninety nine rocks
Ninety nine rocks
ES1359823640102827616922	08899412E	RUB	379.4
PT30733844778295738083204	25605636N		
ES5643056944669015895516	25605636N	CFH	103.14
IT44U2903617084Y19H207T8BFC	74853928Z		SEK
	EUR	414.07
PK43OEM16114242963306575	41656686Y	EUR	821.58
GE76HG3429778839455413	01216279Q	RUB	829.98
VG4064KZ1023011179745755	45820675Y	GBP	443.26
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	538.24
Ninety nine rocks
	921.93	CHF
ME66621247978064842093	45566106R		RUB
FO9238258269917892	08899412E	858.59	EUR

IL055091996124285266508	09651809C	20.45	CHF
AE48725YPOSTSU1LAQKZEPP	48974836Q	643.79	SEK
Ninety nine rocks

LU221999TVLCKM4G89ID	61478341P		
		723.45
HR0716993961872852399	65092468F	407.72	EUR

HR2198178476216192029	80518308T	GBP	955.65
MC842659327688NQYJW0V4CHU32	53597542K	190.31	RUB
Ninety nine rocks
IE44RJQW49091678099855	78114389H	GBP	328.96
	468.2	DKK
SM08B8001360827MH4HE8ZWQZXP	57926790W		GBP
XK959557362593526620	56989796M	116.6	CHF
IE92ZGTS39160560652552	82288442P	SEK	692.48
ES5401017366906132602799	65092468F	RUB	894.4
	SEK	354.03
LT352161628775605252	52141397Y	772.6	USD
ME66621247978064842093	45566106R		73.01
MR6642901340725320676709130	41656686Y	USD	884.55
FR4380461715659NWC070CZ6G58	90028562F	GBP	516.18
KZ94658KNDOP16GS0MQ8	43733112S		93.84
EE709201509112700888	55103783S	922.2	GBP
NL22QHVX4830182943	02669410F	381.63	DKK

HR0716993961872852399	65092468F	DKK	851.74
VG30C0J46457487530434592	74853928Z		EUR
TN4619849WRCEBMJKF33ZPWG	68959267T	985.85	GBP
AD562291377791JAUCEU6WEV	73364721B	404.66	EUR
ME10920049706023941954	68879644A	SEK	623.63
KZ197834HFIDJLC1ZQWJ	43733112S	CHF	669.07
AL4456909000GSUDO7J539MIJH1L	48974836Q	809.58	DKK
LI4962509CEPXCTP4493V	90467036D	USD	96.82
GE16KV3003565361053066	78114389H	827.68	USD
Ninety nine rocks
SE8587388767724906814093	45566106R	SEK	980.55
PT30733844778295738083204	25605636N	DKK	478.03
FI4249627673709648	46585803Q	228.04	EUR
SE4072059930724762036425	46585803Q	745.11	EUR
LT404680925845138006	33964464L	815.71	EUR
AL4456909000GSUDO7J539MIJH1L	48974836Q	CHF	
LT404680925845138006	33964464L	N/A	SEK
DO38IL6559206363439644803826	45566106R	EUR	166.82
PL09657112501393580868416806	80518308T	64.62	USD
AE48725YPOSTSU1LAQKZEPP	48974836Q	GBP	
TN6928626DST3UA1IPXJT80F	53597542K	641.91	
Ninety nine rocks

SK3641392995208681155858	52141397Y	SEK	830.05
ES5968395510953649142207	34532646D		937.11
DE09062364227116961150	46585803Q	USD	N/A
MC987944106826B9BN6WA3QT157	11713644C	940.94	
SM08B8001360827MH4HE8ZWQZXP	57926790W	DKK	831.78
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	EUR	
IE44RJQW49091678099855	78114389H	604.03	

Ninety nine rocks
IS171554950920843049747431	32884971P	KK	532.57
FR4380461715659NWC070CZ6G58	90028562F		USD
AL4456909000GSUDO7J539MIJH1L	48974836Q	SEK	20.08
ME10920049706023941954	68879644A	966.19	EUR
BA384377280747809071	28047910P	96.27	DKK
