RO36WQSQGUPQSPP1OUY3A	48732280L	453.29	
	915.96	DKK
	937.21	GBP
HU49663162407651895112051847	49284913F	81.31	RUB
ES5643056944669015895516	25605636N	322.31	EUR
SA1782PK3NF0P8QAE54PWQE3	34712164N	249.63	DKK
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	SEK	
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C		636.64
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	EUR	876.93
SA1782PK3NF0P8QAE54PWQE3	34712164N	RUB	412.27
FR765595701119MOEGZPV5KXN70	68959267T	447.5	SEK
IL055091996124285266508	09651809C	CHF	517.86
IS980339257905051446545486	38871658W		SEK
AD2206695671VH1ZHCJ41WML	34712164N	EUR	455.75
GR142761949P1CZJZDJ2SYQNDI0	90467036D	GBP	437.77
SA916624X9GG21M3UBMKVPVX	39670968Q		162.6
TL336197208349896119319	56989796M	CFH	300.93
		382.24
MC239817569615Z9IWH7FP0GD04	28744101N	487.14	SEK
Ninety nine rocks
FR682539276248I8ZTO8DOJPN36	52141397Y		220.07
HR2198178476216192029	80518308T	372.57	GBP
IR510789771032621503621949	56989796M	607.25	GBP
TR6389231PIDVKBEWMNZGSGERM	39670968Q	RUB	709.43
	446.22	GBP
IL055091996124285266508	09651809C	EUR	875.7
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	314.02	DKK
Ninety nine rocks
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y		DKK
Ninety nine rocks
		39.87
BR7290090080963467151419029U2	28047910P	240.23	EUR
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	763.5	
Ninety nine rocks
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	895.13	RUB
Ninety nine rocks
FI8497437259092369	92650070K	185.09	DKK
LT638365534312873039	28047910P	205.86	CHF
XK180068384138336739	53072757G	419.1	
Ninety nine rocks
SA0994KFNAPS164YU9OOP574	57926790W	783.01	SEK
Ninety nine rocks
LI4962509CEPXCTP4493V	90467036D	778.24	GBP
Ninety nine rocks

IT90H5711291332703M1NFOWKRD	17277755V		CHF
Ninety nine rocks
NL97CVWG3195927181	02669410F	DKK	817.74
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	EUR	
MK36877PHFLXB419P01	56989796M	DKK	806.25
ME16982539287692129889	39806689Z	896.61	
ES5968395510953649142207	34532646D	USD	464.87
RO10CYGJ0LFID9N0E6VIBWJV	32884971P		CHF
HR1296219505926654396	34532646D	EUR	1.71
PL59315326991525193181773	50077142W	912.16	EUR
DO41KY9H93712983353200450117	08899412E	RUB	376.67
DO757XIN61379289461304191141	21211380K	GBP	489.74
ME10920049706023941954	68879644A	EUR	800.0
DE09062364227116961150	46585803Q	44.62	EUR
ES5401017366906132602799	65092468F	USD	499.27
CR3128580029806078268	90467036D	151.39	RUB
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	880.02	RUB
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	EUR	749.19
ES5968395510953649142207	34532646D	257.39	DKK

IE63LFMV23097240688740	73364721B	SEK	179.48
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	RUB	
TN5872164OGDBPYXG9LENMKY	32775503C		375.05
SI22734001141792429	92650070K	GBP	905.5
XK663155587271893003	01216279Q	435.31	DKK
Ninety nine rocks
Ninety nine rocks
HU49663162407651895112051847	49284913F	448.7	
	N/A	RUB
LI1878690NFPCE8D5010B	15449763L		EUR
SE4072059930724762036425	46585803Q	193.14	GBP
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	140.94	EUR
BG52YAMZ2798316FA0S342	21211380K	USD	977.87
Ninety nine rocks
	487.49	RUB

TL620919673122426560269	78592251D	804.97	GBP
SK3641392995208681155858	52141397Y	128.86	RUB
FR067375965728LIMCBIKY04Q10	69578568A	512.83	EUR
	RUB	588.78
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	52.6	DKK
GR472662377QRYWJJB76MDKWVY5	69578568A	GBP	533.59
ME91204415592058131974	28744101N	CHF	610.39
SE8587388767724906814093	45566106R	RUB	106.41
RO10CYGJ0LFID9N0E6VIBWJV	32884971P		844.08
ES5643056944669015895516	25605636N	EUR	576.23
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	485.45	SEK
	761.19	CHF

DE09062364227116961150	46585803Q	SEK	940.79
Ninety nine rocks
AL82864783232AY3OS32O9RUBQO8	92650070K	171.08	CHF
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	RUB	782.02
DO41KY9H93712983353200450117	08899412E	466.88	SEK
LT404680925845138006	33964464L		USD
CZ0277706812138182328590	32775503C	95.75	SEK
TN41642929RZ2WVDBTOBL2CI	56304499Q	SEK	466.53
SE4072059930724762036425	46585803Q	555.09	USD
FR682539276248I8ZTO8DOJPN36	52141397Y	893.11	SEK
