	841.22	EUR
Ninety nine rocks
AD2206695671VH1ZHCJ41WML	34712164N	RUB	276.09
PK13DK7K1923908975902628	57926790W	296.38	CFH
	62.7	EUR
Ninety nine rocks
AD562291377791JAUCEU6WEV	73364721B	551.67	DKK
GI19VETPFLRU0L1HZE6FI50	72652162S	EUR	786.15
FO3735876142209257	68959267T	727.43	GBP
HU22190225373946217712707979	09651809C	SEK	222.63

EE709201509112700888	55103783S	807.58	RUB
MC987944106826B9BN6WA3QT157	11713644C	DKK	564.98
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	680.58	GBP
LT404680925845138006	33964464L	EUR	149.12
NL22QHVX4830182943	02669410F	KES	228.0
PK69L0BH8621817146060690	90028562F	857.23	GBP
LT206097247476437800	43733112S	662.05	CHF
CZ7031956314160953199870	28744101N	530.9	CHF
MR9765784658715364589276794	46431533F	4.27	USD
GE76HG3429778839455413	01216279Q	CHF	651.53
KZ94658KNDOP16GS0MQ8	43733112S	N/A	GBP
SI22734001141792429	92650070K	556.52	GBP
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	DKK	194.18
HU13482232244537176441358119	53597542K	N/A	USD
GE16KV3003565361053066	78114389H	CHF	586.06
ME16982539287692129889	39806689Z	CHF	330.1
UA074704912616944389906174725	33964464L	224.71	DKK
CZ1548502965088257735371	11713644C		278.75
FR682539276248I8ZTO8DOJPN36	52141397Y	637.33	SEK
FR6886408378912CSCX6FNQDF88	46431533F	942.74	RUB
IL162768337079138447997	34532646D	380.96	
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	19.42	RUE
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	KK	
MC842659327688NQYJW0V4CHU32	53597542K	CHF	182.52
	EUR	493.46
LT404680925845138006	33964464L	422.42	CHF
Ninety nine rocks
VG13VRDJ7412591474836722	80518308T	415.31	GBP
SK3641392995208681155858	52141397Y	EUR	713.5
AE48725YPOSTSU1LAQKZEPP	48974836Q	SEK	791.74
Ninety nine rocks
SK3641392995208681155858	52141397Y	653.95	USD
