Ninety nine rocks
IT48M2970563937D7MRXGKH52P	16422761A	408.89	EUR
TL541166078438313575429	68879644A		USD
SK7685939604189549058799	15449763L	EUR	

	553.35	USD
UA761330313560969297851033726	33964464L	USD	
VG13VRDJ7412591474836722	80518308T		
LI7752678886R565EPXUC	39670968Q	EUR	599.38
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	275.35	RUB
Ninety nine rocks
KZ94658KNDOP16GS0MQ8	43733112S	USD	429.59
Ninety nine rocks
Ninety nine rocks
HU22190225373946217712707979	09651809C	SEK	957.61
	106.36	EUR
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q		131.87
BH13DAYWFNRJ0GN2RAA7UR	82288442P	GBP	
MC148366787383U6KBXX8ERM167	65092468F	EUR	117.19
Ninety nine rocks
IL055091996124285266508	09651809C	508.8	EUR
MC842659327688NQYJW0V4CHU32	53597542K	460.22	CHF

	DKK	282.31
SA0994KFNAPS164YU9OOP574	57926790W	GBP	45.12
SE4072059930724762036425	46585803Q	GBP	269.73
Ninety nine rocks
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	CHF	695.46
	45.14	RUB
Ninety nine rocks

SM08B8001360827MH4HE8ZWQZXP	57926790W	GBP	663.04
IR176571293272654756861852	49284913F	CHF	665.74
GR164360004BUQC9R2QU6WJNKZW	90467036D		
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	RUB	166.19
ME66621247978064842093	45566106R	USD	791.95
LI1878690NFPCE8D5010B	15449763L	RUB	83.05
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	DKK	459.78
KZ94658KNDOP16GS0MQ8	43733112S	EUR	292.59
SE8587388767724906814093	45566106R	GBP	952.48
	806.15	GBP
LI1878690NFPCE8D5010B	15449763L		378.95
	GBP	747.0
ES4962575910679067061475	82288442P	537.96	RUB
GI19VETPFLRU0L1HZE6FI50	72652162S	867.67	GBP
IS980339257905051446545486	38871658W	599.36	EUR
Ninety nine rocks
IR050557230314417829966957	68879644A	SEK	240.12

SK1869924870144967819542	57926790W	CHF	260.97
IL757354520133364453852	55103783S	815.47	DKK
LT352161628775605252	52141397Y	188.51	RUB
PK13DK7K1923908975902628	57926790W	819.22	EUR
MR6642901340725320676709130	41656686Y	DKK	155.21
SK1489672683589923153342	21211380K	128.52	GBP
DE09062364227116961150	46585803Q	SEK	372.63
LI4699421SNVZ5X6KXPLB	73364721B	RUB	
KZ68819CZA89W15QWGWQ	45566106R	GBP	456.42
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	839.1
LT404680925845138006	33964464L	18.0	RUB
LT352161628775605252	52141397Y	RUB	238.28
LI4699421SNVZ5X6KXPLB	73364721B	SEK	70.52
FI4249627673709648	46585803Q	658.67	CHF
Ninety nine rocks
PL09657112501393580868416806	80518308T	DKK	95.27
EE709201509112700888	55103783S	296.4	EUR
SA916624X9GG21M3UBMKVPVX	39670968Q	933.72	USD
	937.55	GBP
DO38IL6559206363439644803826	45566106R	461.49	
Ninety nine rocks
TR6389231PIDVKBEWMNZGSGERM	39670968Q	340.79	DKK
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	61.43	CHF
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	252.91	
