UA761330313560969297851033726	33964464L	137.35	RUB
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	GBP	686.88
BR7290090080963467151419029U2	28047910P	863.99	EUR
	96.41	
FI5863104861846787	72652162S	RUB	854.93
	EUR	237.86
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	856.27	CHF
	DKK	857.22
	EUR	40.87
Ninety nine rocks

MD305P5NPXCZUJLRCMTKK88D	46585803Q	USD	44.06
MC400682288485KUAY58STITO40	38871658W	653.26	GBP
MD305P5NPXCZUJLRCMTKK88D	46585803Q	DKK	625.87
	59.64	USD
HU86965308947958059611096929	90028562F	60.78	SEK
AD2206695671VH1ZHCJ41WML	34712164N	USD	817.97

TR46150080YX4A4W6AGDLDTMH	30233261S	RUB	928.25
LU221999TVLCKM4G89ID	61478341P	GBP	N/A
FR6886408378912CSCX6FNQDF88	46431533F	308.06	
