GI19VETPFLRU0L1HZE6FI50	72652162S		77.79
TN18118719KP723ZYRPADNG5	08899412E		SEK
VG4064KZ1023011179745755	45820675Y	EUR	944.76
ES1651349876073379785110	25605636N	USD	458.35

KZ94658KNDOP16GS0MQ8	43733112S		911.83
FR682539276248I8ZTO8DOJPN36	52141397Y	SEK	839.08
AD562291377791JAUCEU6WEV	73364721B	120.57	DKK
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P		USD
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	299.83	GBP
	677.96	SEK
Ninety nine rocks
IR510789771032621503621949	56989796M	737.18	RUB
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	626.17	SEK
NL97CVWG3195927181	02669410F	SEK	824.02
IR978633059983370222138180	02669410F	GBP	877.33
AE13938V4DMVSF49YS1CBL2	78592251D	831.5	CHF
AT515991783210824774	28047910P	471.63	RUB
CZ0277706812138182328590	32775503C	CHF	377.21
CH4221745ELQS0NB2YDI8	17277755V	918.43	DKK
CZ0277706812138182328590	32775503C	919.36	DKK
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	553.83	RUB

SK7685939604189549058799	15449763L	148.02	SEK
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	EUR	575.05
