HU13482232244537176441358119	53597542K	958.65	EUR
GB62WGVI99163003599889	46431533F	224.71	RUB
TL312176758386021094474	45820675Y	RUB	132.53
	383.77	RUB
SM59J4985929449INF26CCFYJ37	15449763L	USD	356.17
DO38IL6559206363439644803826	45566106R	SEK	712.49
LT404680925845138006	33964464L	CHF	764.41
	655.36	SEK
SK1489672683589923153342	21211380K	818.19	
CR3128580029806078268	90467036D	EUR	848.28
LT404680925845138006	33964464L	985.27	SEK
CY1226960690HWXS17VH1FRUEURR	38871658W	949.8	CHF
ME49140146493717009212	32775503C	SEK	282.74
Ninety nine rocks
IR176571293272654756861852	49284913F	RUB	834.78
