MC5120959523429D3M2QURY449	87543857Q	91.09	CHF
BH45AGIJDDMI1S7IVMPBYX	72652162S	CHF	842.1
LI4699421SNVZ5X6KXPLB	73364721B	455.73	DKK
Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D	980.59	EUR

GE16KV3003565361053066	78114389H	GBP	474.64
M42KGCKK614KW22LOQNFJ079KC	88633233C	226.55	SEK
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	695.05	
TR5428187TLTLTLWXSXNJBW98L	80518308T	65.28	SEK
HU86965308947958059611096929	90028562F	27.9	SEK
BG78BJUL967644HKNQNX4N	34712164N	DKK	
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	SEK	861.57
CY038632562VI7V63VO07NHC8ZR	30031809C	271.98	SEK
LI4962509CEPXCTP4493V	90467036D		DKK
Ninety nine rocks
LT638365534312873039	28047910P	SEK	
IT90H5711291332703M1NFOWKRD	17277755V	GBP	865.48
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	CHF	647.29
	176.54	GBP
SA0994KFNAPS164YU9OOP574	57926790W	SEK	247.03
	341.39	CHF
TN5872164OGDBPYXG9LENMKY	32775503C	SEK	642.59
MD22BLJACUIOIDPAPNN838U5	78592251D	SEK	370.93
ES1359823640102827616922	08899412E	EUR	862.0
MC148366787383U6KBXX8ERM167	65092468F	GBP	307.15
EE709201509112700888	55103783S	165.27	SEK
GB62WGVI99163003599889	46431533F	597.78	DKK
TR5428187TLTLTLWXSXNJBW98L	80518308T	GBP	309.37
AE13938V4DMVSF49YS1CBL2	78592251D	CHF	918.09
HU49663162407651895112051847	49284913F	SEK	803.33
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	410.02	EUR
ES5968395510953649142207	34532646D	RUB	132.93
AT515991783210824774	28047910P	CHF	281.75
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	RUB	214.16

PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	363.05	
	CHF	137.77
ME91204415592058131974	28744101N	435.2	DKK
CR4034466866742477204	92650070K	147.28	USD
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	DKK	142.84
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	368.14	DKK
Ninety nine rocks

PL09657112501393580868416806	80518308T	999.57	GBP
LI1878690NFPCE8D5010B	15449763L	GBP	790.11
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	58.65	GBP
NL22QHVX4830182943	02669410F	EUR	938.68
BE71843948421221	41656686Y	171.49	
TL336197208349896119319	56989796M	DKK	505.32
FO8410656999415744	53072757G	335.48	SEK
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	RUB	535.54
SA916624X9GG21M3UBMKVPVX	39670968Q	USD	444.93
LT352161628775605252	52141397Y	USD	248.44
TL833140836943039409693	82288442P	821.87	DKK

KZ94658KNDOP16GS0MQ8	43733112S	523.3	USD
SI22734001141792429	92650070K	392.68	EUR
DO41OE1F71300090297196859317	53072757G	838.8	EUR
IR176571293272654756861852	49284913F	644.41	USD
