LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	SEK	934.96
FR765595701119MOEGZPV5KXN70	68959267T	CHF	

GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	GB	541.77
Ninety nine rocks
MR9765784658715364589276794	46431533F	EUR	52.68
MD22BLJACUIOIDPAPNN838U5	78592251D	N/A	
IR510789771032621503621949	56989796M	SEK	258.92
KZ94658KNDOP16GS0MQ8	43733112S	GBP	254.5
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	SDU	
MC842659327688NQYJW0V4CHU32	53597542K	446.12	USD
MC148366787383U6KBXX8ERM167	65092468F	DKK	843.38
ES4718187575330891239993	61478341P	766.01	USD
	593.8	USD
	USD	505.87
HU86965308947958059611096929	90028562F	RUB	706.85
PT30733844778295738083204	25605636N	594.08	DKK
HR4850788821598398500	34712164N		GBP

RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	573.41	RUB
AL1705361571EZPDI0TZ70PXVG3H	46431533F	DKK	385.76
	229.09	DKK
AD2206695671VH1ZHCJ41WML	34712164N	EUR	463.61
ES5401017366906132602799	65092468F	GBP	402.76
	RUB	744.38

MC400682288485KUAY58STITO40	38871658W	849.1	DKK
AL82864783232AY3OS32O9RUBQO8	92650070K	83.07	EUR
LI4699421SNVZ5X6KXPLB	73364721B	592.95	SEK
Ninety nine rocks
AE77248SKMXJVII50LKBAWI	68959267T	SEK	627.57
	DKK	614.14
LU221999TVLCKM4G89ID	61478341P	USD	97.17


DO41OE1F71300090297196859317	53072757G	770.11	CHF
BH13DAYWFNRJ0GN2RAA7UR	82288442P	155.78	DKK
Ninety nine rocks
CZ1548502965088257735371	11713644C	362.55	RUB
MD305P5NPXCZUJLRCMTKK88D	46585803Q	USD	783.83
PL09657112501393580868416806	80518308T	EUR	
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	CHF	431.72

PL09657112501393580868416806	80518308T	214.36	RUB
	719.98	SEK
VG30C0J46457487530434592	74853928Z	USD	299.47
IS980339257905051446545486	38871658W	N/A	SEK
MC842659327688NQYJW0V4CHU32	53597542K	393.76	USD
CH5486616JUSX9A78EG7Q	39806689Z	887.93	RUB

SK3641392995208681155858	52141397Y	263.22	EUR
TL541166078438313575429	68879644A		780.06
	821.69	
EE951921847242977559	61873424C	USD	397.84
HU49663162407651895112051847	49284913F	EUR	152.08
TN5872164OGDBPYXG9LENMKY	32775503C	RUB	25.32
IT90H5711291332703M1NFOWKRD	17277755V		
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	879.74	BUR
SE8587388767724906814093	45566106R	708.46	USD
UA074704912616944389906174725	33964464L	148.51	EUR
	DKK	555.88
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	288.98	GBP
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	179.24	CHF
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	USD	133.85
AL1705361571EZPDI0TZ70PXVG3H	46431533F	224.07	GBP
GR164360004BUQC9R2QU6WJNKZW	90467036D	848.05	GBP
NL97CVWG3195927181	02669410F	SEK	292.93
KZ68819CZA89W15QWGWQ	45566106R		2.8
	USD	503.98
FR6886408378912CSCX6FNQDF88	46431533F	49.19	RUB
ME66621247978064842093	45566106R	240.93	CHF
PT30733844778295738083204	25605636N	CHF	85.08
AL4108633436DIVAO1E3NFWWEA	54600024A	CHF	133.2
FR067375965728LIMCBIKY04Q10	69578568A	221.25	DKK
TR5428187TLTLTLWXSXNJBW98L	80518308T		833.08
IE63LFMV23097240688740	73364721B	RUB	
ES1359823640102827616922	08899412E	609.49	DKK
ME10920049706023941954	68879644A	511.24	EUR
BR7290090080963467151419029U2	28047910P	258.74	DKK
HR1296219505926654396	34532646D	CHF	
ME66621247978064842093	45566106R	539.74	EUR
	174.56	DKK
TN41642929RZ2WVDBTOBL2CI	56304499Q	545.99	GBP

GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	GBP	848.46
SK1489672683589923153342	21211380K	USD	492.63
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	CHF	627.89
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	336.23	GBP
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	753.96	EUR
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	974.08	GBP
MR9765784658715364589276794	46431533F	GBP	415.97
HR1296219505926654396	34532646D		435.5
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	151.82	RUB
TN41642929RZ2WVDBTOBL2CI	56304499Q	571.08	EUR
Ninety nine rocks
CH4221745ELQS0NB2YDI8	17277755V		291.63
	CHF	84.44
IL055091996124285266508	09651809C	CHF	757.96
MC239817569615Z9IWH7FP0GD04	28744101N	7.49	USD
ME66621247978064842093	45566106R	681.77	EUR
ME49140146493717009212	32775503C	EUR	981.3
	33.87	
	USD	918.41
NL97CVWG3195927181	02669410F	243.1	DKK
GE69NB5057725923884251	68879644A	RUB	358.02
Ninety nine rocks
SA0994KFNAPS164YU9OOP574	57926790W		RUB
IL883543164433395339809	25605636N	966.15	GBP
AT515991783210824774	28047910P	212.18	RUB
TL833140836943039409693	82288442P	915.83	CHF
GR164360004BUQC9R2QU6WJNKZW	90467036D	910.52	EUR
HU13482232244537176441358119	53597542K	SEK	
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	RUB	813.55
VG79EPZL5105165679106759	41656686Y	860.58	EUR
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	N/A	EUR
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C		528.54
NL22QHVX4830182943	02669410F	SEK	313.83
IL055091996124285266508	09651809C	316.81	SEK
IE63LFMV23097240688740	73364721B		877.43
DE09062364227116961150	46585803Q	114.4	USD
GI27KKMIDQ6N3YVAQN4J89C	90028562F	DKK	
Ninety nine rocks


FI1291198425298593	78592251D	774.1	RUB
HU13482232244537176441358119	53597542K	700.78	GBP
Ninety nine rocks
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	RUB	630.03
	78.6	GBP
ES4718187575330891239993	61478341P	50.88	RUB
XK959557362593526620	56989796M		75.95
