MD49LN74O9LRRICC7EEVLU7	51129009X	GBP	
SA6268DDJM7GA5WLMM1JRKJP	34532646D	596.92	GBP
IT44U2903617084Y19H207T8BFC	74853928Z	945.47	USD
IT44U2903617084Y19H207T8BFC	74853928Z	377.07	GBP
PT30733844778295738083204	25605636N	215.13	EUR
ES1651349876073379785110	25605636N	DKK	551.01
FR682539276248I8ZTO8DOJPN36	52141397Y	320.99	USD
ES5968395510953649142207	34532646D	USD	N/A
SM97G79397716272U9A9OBTJV1J	61873424C	947.24	GBP
PT78461997729158096512493	56304499Q	674.97	RUB
AE13938V4DMVSF49YS1CBL2	78592251D	GBP	675.91
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	55.39	DKK
Ninety nine rocks
PK19XXR25392269503727898	65092468F	CHF	990.93
AT515991783210824774	28047910P	SEK	483.75
XK959557362593526620	56989796M		277.88
BH45AGIJDDMI1S7IVMPBYX	72652162S	637.73	USD
PK19XXR25392269503727898	65092468F		493.49
PT98222714410307122371827	33964464L	DKK	115.72
LV90GZABEFC7YL8CKPRIT	45820675Y		266.92
BH40JGQHIFW1PP4UDBSEGH	74853928Z	DKK	447.22
LT352161628775605252	52141397Y	RUB	210.31
MR6642901340725320676709130	41656686Y	DKK	809.14
PT78461997729158096512493	56304499Q	669.01	
H2103285BRGK72WE3WP	91604051C	USD	975.06
ES5968395510953649142207	34532646D	EUR	611.85
FR6886408378912CSCX6FNQDF88	46431533F	471.22	RUB
BE44640395214523	02669410F	198.5	USD
DO757XIN61379289461304191141	21211380K	760.6	DKK
Ninety nine rocks
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	62.12	DKK
ES5643056944669015895516	25605636N	82.08	RUB
CZ0277706812138182328590	32775503C	SEK	212.06
GR142761949P1CZJZDJ2SYQNDI0	90467036D	955.73	
	262.01	

Ninety nine rocks
R9788554660751720891419757OJ	11288101R	DKK	709.53
FI8497437259092369	92650070K	349.61	EUR
PK69L0BH8621817146060690	90028562F	534.67	RUB
DE09062364227116961150	46585803Q	371.27	CHF
PK69L0BH8621817146060690	90028562F	CHF	73.94

FI8776565714806556	73364721B	DKK	873.41
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	CHF	905.6
MD358F69VEV6FZO01VOURO61	53072757G	SEK	863.06
Ninety nine rocks
LV90GZABEFC7YL8CKPRIT	45820675Y	DKK	194.36
		EUR
Ninety nine rocks

BR7290090080963467151419029U2	28047910P		900.91
LU221999TVLCKM4G89ID	61478341P	772.94	EUR
AE48725YPOSTSU1LAQKZEPP	48974836Q	USD	66.21
UA538840557549114757901561455	69578568A	EUR	872.54
SM97G79397716272U9A9OBTJV1J	61873424C	90.71	RUB
TN18118719KP723ZYRPADNG5	08899412E	681.69	USD
Ninety nine rocks
IS171554950920843049747431	32884971P	912.43	GBP
PL09657112501393580868416806	80518308T	RUB	54.49
Ninety nine rocks
GR472662377QRYWJJB76MDKWVY5	69578568A	33.5	GBP
MC842659327688NQYJW0V4CHU32	53597542K	38.17	USD
GR164360004BUQC9R2QU6WJNKZW	90467036D		GBP
ES5968395510953649142207	34532646D	604.68	EUR
AE13938V4DMVSF49YS1CBL2	78592251D	SEK	943.73
IL8049418998298081447	24414830D	EUR	232.99
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	N/A	USD
GE69NB5057725923884251	68879644A	USD	51.52
IL757354520133364453852	55103783S	415.29	DKK
	DKK	143.62
AD562291377791JAUCEU6WEV	73364721B	566.43	EUR
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	285.59	CHF
Ninety nine rocks
SM08B8001360827MH4HE8ZWQZXP	57926790W	493.18	CHF
IT90H5711291332703M1NFOWKRD	17277755V	GBP	
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	854.85	EUR
	400.25	USD
PK19XXR25392269503727898	65092468F	GBP	736.23
	285.4	DKK
XK180068384138336739	53072757G	EUR	436.9
CZ0416640664868775213	66794309X	713.73	GBP
UA964557479287233718409674295	78114389H	RUB	
IS980339257905051446545486	38871658W	USD	188.56
IR978633059983370222138180	02669410F	331.67	RUB
LU221999TVLCKM4G89ID	61478341P		364.29
IR176571293272654756861852	49284913F	183.1	CHF
IL162768337079138447997	34532646D	733.03	SEK
FI8497437259092369	92650070K	586.15	RUB
AE13938V4DMVSF49YS1CBL2	78592251D	CHF	426.93
BG78BJUL967644HKNQNX4N	34712164N	GBP	683.62
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	519.85	USD

PT98222714410307122371827	33964464L	298.79	USD
MK36877PHFLXB419P01	56989796M	788.2	EUR
