IS980339257905051446545486	38871658W	892.35	EUR
SK7685939604189549058799	15449763L		933.01
IT90H5711291332703M1NFOWKRD	17277755V	DKK	335.12
TR6389231PIDVKBEWMNZGSGERM	39670968Q	295.44	GBP
XK663155587271893003	01216279Q	RUB	391.91

QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	N/A	
Ninety nine rocks
IR176571293272654756861852	49284913F	USD	886.83
IE92ZGTS39160560652552	82288442P	519.78	SEK
TL620919673122426560269	78592251D	533.9	CHF
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	721.16
CR71338552857220	73167529E	RUB	
Ninety nine rocks
TN4619849WRCEBMJKF33ZPWG	68959267T	372.26	BUR
LI4962509CEPXCTP4493V	90467036D		DKK
UA761330313560969297851033726	33964464L	202.81	CHF
Ninety nine rocks
Ninety nine rocks
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	GBP	509.36
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	RUB	901.37
	RUB	198.16
PK43OEM16114242963306575	41656686Y	SEK	207.8
