AL1953115781XW63X3334SE3WJ	78611263R	GBP	437.1
LB863652PCCJG32R1PC8OE2VMAY7	17277755V		607.83
Ninety nine rocks
MR9765784658715364589276794	46431533F	13.34	
MR6642901340725320676709130	41656686Y	RUB	385.33
Ninety nine rocks
MR6642901340725320676709130	41656686Y	509.04	USD
	EUR	519.08
IE63LFMV23097240688740	73364721B	RUB	410.9
UA538840557549114757901561455	69578568A	USD	827.85
FR682539276248I8ZTO8DOJPN36	52141397Y	CHF	476.19
EE709201509112700888	55103783S	938.42	
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	DKK	356.34

XK663155587271893003	01216279Q	GBP	767.56

HR1296219505926654396	34532646D	RUB	362.51
SA6268DDJM7GA5WLMM1JRKJP	34532646D	437.01	DKK
DE09062364227116961150	46585803Q	337.88	CHF
XK663155587271893003	01216279Q	GBP	244.5
	USD	160.23
IE96EEMA36946143714469	49284913F	RUB	901.69
	USD	219.45
	CHF	983.63
Ninety nine rocks
		872.26
FR4380461715659NWC070CZ6G58	90028562F	521.43	
DO41OE1F71300090297196859317	53072757G	RUB	505.92
IE63LFMV23097240688740	73364721B	882.12	CHF
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	300.22	USD
Ninety nine rocks
SA0994KFNAPS164YU9OOP574	57926790W	32.95	RUB

GI19VETPFLRU0L1HZE6FI50	72652162S	695.49	DKK
	893.78	EUR
Ninety nine rocks
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	USD	N/A
SA1782PK3NF0P8QAE54PWQE3	34712164N	USD	311.87
BH13DAYWFNRJ0GN2RAA7UR	82288442P	223.7	GBP
GI19VETPFLRU0L1HZE6FI50	72652162S	169.42	RUB
Ninety nine rocks
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	SEK	304.74
Ninety nine rocks
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	950.0	SDU
Ninety nine rocks
MR6642901340725320676709130	41656686Y	GBP	730.47
X933597049248753433	94833480L	DKK	508.05
MC239817569615Z9IWH7FP0GD04	28744101N	SEK	636.81
CZ1548502965088257735371	11713644C	706.75	CHF
PT78461997729158096512493	56304499Q	837.98	USD
LI4962509CEPXCTP4493V	90467036D	792.02	RUB
FO3735876142209257	68959267T	834.6	RUB
CH9054905KGSMB7YC5NGI	69578568A	RUB	453.81
PT78461997729158096512493	56304499Q	USD	467.59
SK1489672683589923153342	21211380K	SEK	602.93
HR4850788821598398500	34712164N		922.89
BR7290090080963467151419029U2	28047910P	RUB	103.31


LV90GZABEFC7YL8CKPRIT	45820675Y		GBP
HU49663162407651895112051847	49284913F	SEK	388.16
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	820.69	DKK
	CHF	N/A
