Ninety nine rocks
ES5401017366906132602799	65092468F	512.4	USD
LT638365534312873039	28047910P		259.79
MK36877PHFLXB419P01	56989796M	CHF	187.53
MD22BLJACUIOIDPAPNN838U5	78592251D	USD	

GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	CHF	470.6
	RUB	
AE77248SKMXJVII50LKBAWI	68959267T	RUB	223.94
MR6642901340725320676709130	41656686Y	51.38	RUB
IT90H5711291332703M1NFOWKRD	17277755V	USD	962.98
CR4034466866742477204	92650070K	GBP	558.52
FI5863104861846787	72652162S	425.75	SEK
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	USD	529.37
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	GBP	146.22
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	RUB	520.41

GR472662377QRYWJJB76MDKWVY5	69578568A	212.98	DKK
HU13482232244537176441358119	53597542K	RUB	7.98
		USD
CR3128580029806078268	90467036D	CHF	562.16
