AD562291377791JAUCEU6WEV	73364721B	467.69	RUB
Ninety nine rocks
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	GBP	968.29
TN5872164OGDBPYXG9LENMKY	32775503C		RUB
FI8497437259092369	92650070K	RUB	156.17
HR0716993961872852399	65092468F		SEK
AL82864783232AY3OS32O9RUBQO8	92650070K	378.66	RUB
XK663155587271893003	01216279Q	978.13	EUR
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	USD	N/A
LI4699421SNVZ5X6KXPLB	73364721B	RUB	888.65
Ninety nine rocks
Ninety nine rocks

	442.17	EUR
UA074704912616944389906174725	33964464L	71.25	SEK
	284.24	DKK
SI22734001141792429	92650070K	SEK	413.16
BH40JGQHIFW1PP4UDBSEGH	74853928Z	DKK	721.2
AD562291377791JAUCEU6WEV	73364721B	147.54	EUR
SE8587388767724906814093	45566106R	EUR	
Ninety nine rocks
MR6642901340725320676709130	41656686Y	CHF	585.67
ES5643056944669015895516	25605636N	632.36	RUB
SM97G79397716272U9A9OBTJV1J	61873424C	130.81	CHF
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z		
BG52YAMZ2798316FA0S342	21211380K	SEK	538.71
FO8410656999415744	53072757G		
IR171391265758083409634677	53597542K	RUB	837.88

LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	577.62	CHF
GR164360004BUQC9R2QU6WJNKZW	90467036D	40.49	
ES5643056944669015895516	25605636N	EUR	177.45
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	63.72	USD
IS171554950920843049747431	32884971P	CHF	457.16
CH9054905KGSMB7YC5NGI	69578568A	198.27	RUB
SK3641392995208681155858	52141397Y		119.6
SM16B78515997941NG37B30NHX4	61873424C	629.64	SEK
NL97CVWG3195927181	02669410F	DKK	259.63
AL1705361571EZPDI0TZ70PXVG3H	46431533F	917.36	RUB
LI4699421SNVZ5X6KXPLB	73364721B	895.45	EUR
ME66621247978064842093	45566106R	DKK	322.07

SM97G79397716272U9A9OBTJV1J	61873424C	CHF	349.46
	DKK	287.22
IL162768337079138447997	34532646D	SEK	605.86
	362.62	SEK
FI8497437259092369	92650070K	SEK	125.82
LT206097247476437800	43733112S	CHF	211.94
Ninety nine rocks
ME16982539287692129889	39806689Z	241.75	RUB
MR6642901340725320676709130	41656686Y	DKK	212.64
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	484.79	DKK
SM08B8001360827MH4HE8ZWQZXP	57926790W	861.41	CHF
EE709201509112700888	55103783S	894.73	EUR
UA538840557549114757901561455	69578568A	CHF	231.38
CR4034466866742477204	92650070K	304.24	DKK
	102.39	SEK
	SEK	
Ninety nine rocks
IE92ZGTS39160560652552	82288442P	RUB	413.72

UA538840557549114757901561455	69578568A	USD	376.15
Ninety nine rocks
RS73278076436469452645	61478341P		
SM59J4985929449INF26CCFYJ37	15449763L	GBP	640.63
Ninety nine rocks
FR765595701119MOEGZPV5KXN70	68959267T	RUB	799.7
IE44RJQW49091678099855	78114389H	RUB	846.06
	423.8	RUB
	RUB	
LI4962509CEPXCTP4493V	90467036D	268.11	CHF
HR0716993961872852399	65092468F	DKK	496.74
PL09657112501393580868416806	80518308T	134.15	SEK
LT206097247476437800	43733112S	SEK	646.58
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	765.92	USD
MC400682288485KUAY58STITO40	38871658W	RUB	880.11
TL336197208349896119319	56989796M	USD	246.41
TR6389231PIDVKBEWMNZGSGERM	39670968Q	USD	833.94
	284.5	GBP

K91ANDVF41PO53OUAQMA2ZGKXBI0F	15585675W	590.6	DKK
TL541166078438313575429	68879644A	EUR	20.53
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z		390.73
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	193.12	USD
Ninety nine rocks
FI8497437259092369	92650070K	USD	101.86
LI4962509CEPXCTP4493V	90467036D	DKK	545.47
BH13DAYWFNRJ0GN2RAA7UR	82288442P	USD	543.3
SK1489672683589923153342	21211380K	848.24	SEK
TL336197208349896119319	56989796M	USD	
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	834.67	CHF
	RUB	60.96
HU49663162407651895112051847	49284913F	883.8	USD
GE69NB5057725923884251	68879644A	288.9	GBP
BE44640395214523	02669410F	237.57	RUB
SE4072059930724762036425	46585803Q	DKK	
CH4221745ELQS0NB2YDI8	17277755V	CHF	195.38
IE92ZGTS39160560652552	82288442P	249.74	USD
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	232.93	USD

CZ1548502965088257735371	11713644C	844.98	EUR
	511.29	DKK
HU15418903579542555773697655	48974836Q		SEK
Ninety nine rocks
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	800.67	SEK
NL97CVWG3195927181	02669410F	92.53	KES

IS980339257905051446545486	38871658W	649.32	EUR
HU86965308947958059611096929	90028562F	371.48	DKK
SE4072059930724762036425	46585803Q	350.2	USD

Ninety nine rocks
VG13VRDJ7412591474836722	80518308T	DKK	273.84

	828.47	EUR
Ninety nine rocks
BG78BJUL967644HKNQNX4N	34712164N	101.9	CHF
IE92ZGTS39160560652552	82288442P	651.53	USD

IT90H5711291332703M1NFOWKRD	17277755V	EUR	985.54
HR4850788821598398500	34712164N	GBP	744.97
TL541166078438313575429	68879644A	933.62	CHF
AD562291377791JAUCEU6WEV	73364721B	470.91	DKK
	749.74	DKK
ES1651349876073379785110	25605636N	RUB	310.22
UA074704912616944389906174725	33964464L		EUR
PL09657112501393580868416806	80518308T	17.17	RUB
