
LB580633U8EPDOCA4CXZJE4YB68	90221937E	603.67	GBP
CZ7031956314160953199870	28744101N		SEK
XK653384625153233371	43733112S	749.74	SEK
UA538840557549114757901561455	69578568A	CHF	222.88
IR050557230314417829966957	68879644A	39.6	RUB
Ninety nine rocks
MR9765784658715364589276794	46431533F	DKK	935.67
IT44U2903617084Y19H207T8BFC	74853928Z	676.69	EUR
LI4962509CEPXCTP4493V	90467036D	622.8	DKK
BA384377280747809071	28047910P		169.48
VG79EPZL5105165679106759	41656686Y	CHF	2.98
LV90GZABEFC7YL8CKPRIT	45820675Y	SEK	412.89
LI4699421SNVZ5X6KXPLB	73364721B	11.79	RUB

BG64ZYDB016049B51JMUCU	38871658W		718.5
CZ7031956314160953199870	28744101N	USD	161.09
GI19VETPFLRU0L1HZE6FI50	72652162S		USD
	867.79	GBP
SE8587388767724906814093	45566106R	USD	N/A


IE44RJQW49091678099855	78114389H	4.66	EUR
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S		RUB
Ninety nine rocks
PK19XXR25392269503727898	65092468F	536.87	
LT352161628775605252	52141397Y	300.37	SEK
LT404680925845138006	33964464L	492.83	DKK
Ninety nine rocks
IR510789771032621503621949	56989796M	EUR	593.49
RS73278076436469452645	61478341P		354.24
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	RUB	953.95
XK653384625153233371	43733112S		598.86
Ninety nine rocks
TL336197208349896119319	56989796M	RUB	379.93
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	780.1	EUR
DO41KY9H93712983353200450117	08899412E	252.84	SEK
FR682539276248I8ZTO8DOJPN36	52141397Y		DKK
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	GBP	443.68
TR5428187TLTLTLWXSXNJBW98L	80518308T	DKK	501.51
	SEK	554.65
Ninety nine rocks
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C		770.7

MR6642901340725320676709130	41656686Y	USD	335.3
FI4249627673709648	46585803Q	597.35	RUB
		863.28
AE13938V4DMVSF49YS1CBL2	78592251D	429.84	DKK
	GBP	314.82
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	313.03	GBP
	EUR	
	EUR	506.69
BA073428119991458265	45820675Y		842.09
MD22BLJACUIOIDPAPNN838U5	78592251D	DKK	137.46
DO757XIN61379289461304191141	21211380K	DKK	849.63
DO41OE1F71300090297196859317	53072757G	575.04	CHF
LU221999TVLCKM4G89ID	61478341P	SEK	759.27
	697.24	RUB
Ninety nine rocks
MK15121TGQ7QBC1755	56641743N	433.6	RUB
PK19XXR25392269503727898	65092468F	383.6	CHF
HR2198178476216192029	80518308T	598.99	DKK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	EUR	431.31
IE92ZGTS39160560652552	82288442P	EUR	727.41
LT206097247476437800	43733112S	470.54	
