LU33407NEVLQWFERO71	72413388M	914.71	GBP
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F		DKK
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	50.77	

PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	RUB	281.29
SA6268DDJM7GA5WLMM1JRKJP	34532646D	GBP	265.44

IR050557230314417829966957	68879644A	USD	
ES4718187575330891239993	61478341P	997.5	DKK
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	575.04	GBP
IR978633059983370222138180	02669410F	DKK	829.49
ES5643056944669015895516	25605636N	915.48	CHF
	821.72	GBP
FR765595701119MOEGZPV5KXN70	68959267T	23.31	RUB
HU86965308947958059611096929	90028562F	GBP	

RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C		167.37
GB62WGVI99163003599889	46431533F	GBP	336.15
		157.53
VG4064KZ1023011179745755	45820675Y	USD	293.4
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	564.8	DKK
ES5401017366906132602799	65092468F	693.5	EUR
IT90H5711291332703M1NFOWKRD	17277755V	996.85	CFH
SE4072059930724762036425	46585803Q	USD	56.29
UA964557479287233718409674295	78114389H		DKK
UA964557479287233718409674295	78114389H	GBP	882.09
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	USD	390.3
LT352161628775605252	52141397Y	CHF	37.78
GR472662377QRYWJJB76MDKWVY5	69578568A	EUR	418.71
Ninety nine rocks
IS171554950920843049747431	32884971P	SEK	409.76
FO9238258269917892	08899412E	USD	436.28
NL22QHVX4830182943	02669410F		589.19
UA761330313560969297851033726	33964464L	SEK	303.93
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	GBP	162.21
	289.87	GBP
MC148366787383U6KBXX8ERM167	65092468F	USD	293.75
TR6389231PIDVKBEWMNZGSGERM	39670968Q	867.01	SEK
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	USD	148.34
	448.89	DKK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	EUR	397.56
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	96.88	SEK
Ninety nine rocks
UA964557479287233718409674295	78114389H	GBP	359.86
SK1869924870144967819542	57926790W	USD	571.05
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	461.09	EUR
BG78BJUL967644HKNQNX4N	34712164N	GBP	N/A
IE63LFMV23097240688740	73364721B	127.82	
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	412.84	RUB
	168.93	CHF
HU86965308947958059611096929	90028562F	994.52	RUB
ME66621247978064842093	45566106R		74.93
BA073428119991458265	45820675Y	RUB	968.42


GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	USD	482.4
XK959557362593526620	56989796M	SEK	501.29
SK1489672683589923153342	21211380K	401.31	USD
XK959557362593526620	56989796M	253.69	RUB
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	USD	670.55
MC400682288485KUAY58STITO40	38871658W	SEK	
LI67703QQQ89QMDYRL	39273065Z	GBP	274.59
SE8587388767724906814093	45566106R	DKK	925.38
FO9238258269917892	08899412E		352.55
LI1878690NFPCE8D5010B	15449763L	532.59	GBP
IL757354520133364453852	55103783S	510.47	GBP
LU221999TVLCKM4G89ID	61478341P	DKK	1.56
ME91204415592058131974	28744101N	DKK	576.6
KZ94658KNDOP16GS0MQ8	43733112S	239.65	RUB

CH4221745ELQS0NB2YDI8	17277755V	DKK	792.99
Ninety nine rocks
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	611.88	
DO41KY9H93712983353200450117	08899412E	USD	
ME66621247978064842093	45566106R	694.72	DKK
SI22734001141792429	92650070K	206.22	
ES4962575910679067061475	82288442P	USD	137.17
IR978633059983370222138180	02669410F	47.69	RUB
ME16982539287692129889	39806689Z	3.09	BUR
SM97G79397716272U9A9OBTJV1J	61873424C	121.37	SEK
Ninety nine rocks
VG79EPZL5105165679106759	41656686Y	CHF	
MD305P5NPXCZUJLRCMTKK88D	46585803Q	698.86	GBP
	DKK	216.39

LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	DKK	29.07
NL22QHVX4830182943	02669410F	254.6	DKK
VG599H6I74786924026	77031847H	CHF	970.24
SK1869924870144967819542	57926790W	SEK	199.16
LT206097247476437800	43733112S	985.94	USD
	546.54	DKK
Ninety nine rocks
	DKK	372.2
SA6268DDJM7GA5WLMM1JRKJP	34532646D	EUR	901.79
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	819.14	USD
HR0716993961872852399	65092468F	USD	101.58
BH13DAYWFNRJ0GN2RAA7UR	82288442P	CHF	38.46
GI19VETPFLRU0L1HZE6FI50	72652162S	340.26	GBP
HU22190225373946217712707979	09651809C	681.9	DKK
FO3735876142209257	68959267T	N/A	GBP
CZ1548502965088257735371	11713644C	BUR	486.96
BA384377280747809071	28047910P	8.53	CHF
CH5486616JUSX9A78EG7Q	39806689Z	683.58	CHF
MC400682288485KUAY58STITO40	38871658W	324.94	RUB
GI19VETPFLRU0L1HZE6FI50	72652162S		CHF
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	90.57	
CZ0277706812138182328590	32775503C		372.78

PT78461997729158096512493	56304499Q	937.73	EUR
ES1651349876073379785110	25605636N	890.11	RUB
LI4699421SNVZ5X6KXPLB	73364721B	RUB	984.8
	DKK	479.33
FI8497437259092369	92650070K	468.79	RUB
	CHF	177.86
Ninety nine rocks
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	998.35	USD
PT30733844778295738083204	25605636N		
Ninety nine rocks
ES1651349876073379785110	25605636N	549.99	DKK

AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	221.69	
Ninety nine rocks
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	462.18	SEK
TL336197208349896119319	56989796M	EUR	652.75
GI19VETPFLRU0L1HZE6FI50	72652162S	USD	850.97
SM97G79397716272U9A9OBTJV1J	61873424C		

GB62WGVI99163003599889	46431533F	231.82	
PT78461997729158096512493	56304499Q	RUB	97.95
FO9238258269917892	08899412E	SEK	505.94
CR3128580029806078268	90467036D	107.19	USD
ME49140146493717009212	32775503C	927.52	SEK
BH40JGQHIFW1PP4UDBSEGH	74853928Z	RUB	848.65
AD6527527677TJCTJOHBQLKJ	61873424C	164.69	RUB
XK653384625153233371	43733112S	DKK	317.8
XK180068384138336739	53072757G	CHF	623.81
Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D		GBP
SE4072059930724762036425	46585803Q	950.01	SEK
BA073428119991458265	45820675Y	SEK	70.38
DE49048012355817038246	09651809C	215.2	SEK

DO38IL6559206363439644803826	45566106R	EUR	
	GBP	721.75

PT30733844778295738083204	25605636N	EUR	560.29
TL541166078438313575429	68879644A	RUB	242.98
XK959557362593526620	56989796M	EUR	914.28
BA384377280747809071	28047910P	37.35	CHF
AE13938V4DMVSF49YS1CBL2	78592251D	605.71	RUB
	DKK	557.93
AE13938V4DMVSF49YS1CBL2	78592251D	BUR	576.82
CH5486616JUSX9A78EG7Q	39806689Z	697.73	USD
IS171554950920843049747431	32884971P	235.48	SEK
DO38IL6559206363439644803826	45566106R	DKK	946.04
LT638365534312873039	28047910P	EUR	758.53
BH45AGIJDDMI1S7IVMPBYX	72652162S	286.98	
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	871.03	EUR
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	EUR	
TL620919673122426560269	78592251D	177.56	GBP
Ninety nine rocks
XK653384625153233371	43733112S	USD	519.41
	EUR	93.31
RS73278076436469452645	61478341P	RUB	509.1


IT44U2903617084Y19H207T8BFC	74853928Z	613.7	DKK
LT638365534312873039	28047910P	421.93	EUR
IR176571293272654756861852	49284913F	SEK	349.36
IE92ZGTS39160560652552	82288442P	GBP	620.09
Ninety nine rocks
BH40JGQHIFW1PP4UDBSEGH	74853928Z	USD	866.03
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	466.82	USD
GE69NB5057725923884251	68879644A	566.11	RUB
ME10920049706023941954	68879644A	SEK	524.56
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	DKK	711.18
ES5968395510953649142207	34532646D	EUR	95.8
IR171391265758083409634677	53597542K	RUB	885.51

AT515991783210824774	28047910P	EUR	982.97
	GBP	757.01
	491.76	SEK
	DKK	392.88
Ninety nine rocks
	87.93	DKK
FO3735876142209257	68959267T	131.0	DKK
ES5968395510953649142207	34532646D		480.96
FO9238258269917892	08899412E	23.97	CHF
FO9238258269917892	08899412E	EUR	996.54
SM59J4985929449INF26CCFYJ37	15449763L	SEK	890.8

	SEK	652.86
Ninety nine rocks
HR2198178476216192029	80518308T	28.24	SEK
	857.0	SEK
Ninety nine rocks
LI4962509CEPXCTP4493V	90467036D	87.43	CHF
LI4962509CEPXCTP4493V	90467036D	851.91	KK
AD2206695671VH1ZHCJ41WML	34712164N	387.0	SEK
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	162.02	
HR1296219505926654396	34532646D	408.94	SEK
GE16KV3003565361053066	78114389H	GBP	512.83
NL97CVWG3195927181	02669410F	336.29	CHF
GB62WGVI99163003599889	46431533F	DKK	
GB62WGVI99163003599889	46431533F	381.42	RUB
SA0994KFNAPS164YU9OOP574	57926790W	90.36	GBP
PL09657112501393580868416806	80518308T	GBP	223.06
BG78BJUL967644HKNQNX4N	34712164N	687.39	CHF
ES1651349876073379785110	25605636N	RUB	611.14
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	976.61	EUR
HR0716993961872852399	65092468F	253.08	

FI1291198425298593	78592251D	CHF	638.06
XK663155587271893003	01216279Q		SEK
PK19XXR25392269503727898	65092468F	SEK	256.54
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	DKK	
PK43OEM16114242963306575	41656686Y	CHF	581.5
Ninety nine rocks
VG13VRDJ7412591474836722	80518308T	USD	793.97

Ninety nine rocks
ME49140146493717009212	32775503C	USD	687.56
Ninety nine rocks
CR4034466866742477204	92650070K	SEK	4.58

IL757354520133364453852	55103783S	913.41	DKK
HR1296219505926654396	34532646D	896.2	GBP
CR4034466866742477204	92650070K	CHF	400.04
Ninety nine rocks
SM08B8001360827MH4HE8ZWQZXP	57926790W	285.51	GBP
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	USD	481.86
CH5486616JUSX9A78EG7Q	39806689Z	CHF	
DO38IL6559206363439644803826	45566106R	266.36	SEK
SI22734001141792429	92650070K	914.6	
ME16982539287692129889	39806689Z	DKK	23.29
ES4718187575330891239993	61478341P	SEK	769.99
Ninety nine rocks
HU86965308947958059611096929	90028562F	EUR	358.99
BG78BJUL967644HKNQNX4N	34712164N	607.25	SEK
MC148366787383U6KBXX8ERM167	65092468F	801.84	SEK
PK13DK7K1923908975902628	57926790W	111.42	DKK
TR5428187TLTLTLWXSXNJBW98L	80518308T	782.49	GBP
DO41OE1F71300090297196859317	53072757G	288.97	RUB
LT638365534312873039	28047910P	676.28	
CZ0277706812138182328590	32775503C	645.36	USD
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	194.53	CHF
CZ1548502965088257735371	11713644C	GBP	363.09
EE951921847242977559	61873424C	179.13	RUB
TL336197208349896119319	56989796M	768.19	CHF
IT44U2903617084Y19H207T8BFC	74853928Z	SEK	

SM97G79397716272U9A9OBTJV1J	61873424C	919.23	
		USD
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	102.18	EUR
	24.48	RUB
AL4456909000GSUDO7J539MIJH1L	48974836Q	876.27	
CY1226960690HWXS17VH1FRUEURR	38871658W	552.74	
AT515991783210824774	28047910P	DKK	453.27
IE44RJQW49091678099855	78114389H	SEK	710.77
VG79EPZL5105165679106759	41656686Y	SEK	106.04
TN18118719KP723ZYRPADNG5	08899412E	EUR	928.34
BG52YAMZ2798316FA0S342	21211380K	224.37	USD
	RUB	358.97

	EUR	252.89
AD6527527677TJCTJOHBQLKJ	61873424C	EUR	593.86
AE48725YPOSTSU1LAQKZEPP	48974836Q	CHF	44.15
FR067375965728LIMCBIKY04Q10	69578568A	USD	122.09
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	EUR	776.21
AT515991783210824774	28047910P	275.29	USD
LT638365534312873039	28047910P	577.95	DKK
HU15418903579542555773697655	48974836Q	927.41	USD
IR176571293272654756861852	49284913F	RUB	880.26
DO41OE1F71300090297196859317	53072757G	406.83	EUR
UA964557479287233718409674295	78114389H	983.01	SEK
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	SEK	579.67
TR5428187TLTLTLWXSXNJBW98L	80518308T	GBP	966.43
SK7685939604189549058799	15449763L	920.89	EUR
XK959557362593526620	56989796M	950.93	CHF
RS73278076436469452645	61478341P	RUE	861.43
Ninety nine rocks
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	76.75	RUB
FI5863104861846787	72652162S	999.99	RUB
GI19VETPFLRU0L1HZE6FI50	72652162S	613.63	
FI8497437259092369	92650070K	729.65	SEK
TN4619849WRCEBMJKF33ZPWG	68959267T	615.44	DKK
LB957793SEUSHVA7QADC5597XVCS	15449763L	SEK	
ME16982539287692129889	39806689Z	603.19	GBP
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	747.41	RUB
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	DKK	755.32
BH45AGIJDDMI1S7IVMPBYX	72652162S	RUB	
TR5428187TLTLTLWXSXNJBW98L	80518308T	336.61	USD
BA384377280747809071	28047910P	GBP	504.36
	709.29	SEK
ES5968395510953649142207	34532646D	726.64	GBP
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	543.69	DKK
AL4456909000GSUDO7J539MIJH1L	48974836Q	GBP	607.41
IS980339257905051446545486	38871658W	DKK	294.97

