MC148366787383U6KBXX8ERM167	65092468F		381.26
LB957793SEUSHVA7QADC5597XVCS	15449763L	DKK	577.69
LT79700700005404960	62416383L	CHF	537.23
LT352161628775605252	52141397Y	173.58	USD
LT638365534312873039	28047910P	EUR	482.85
IE92ZGTS39160560652552	82288442P	DKK	
FI8497437259092369	92650070K	USD	N/A
DO757XIN61379289461304191141	21211380K	971.02	EUR
MC987944106826B9BN6WA3QT157	11713644C	USD	350.82
FR765595701119MOEGZPV5KXN70	68959267T	937.75	
CR3128580029806078268	90467036D	RUB	864.52

HU49663162407651895112051847	49284913F	511.57	DKK
IL162768337079138447997	34532646D		531.35
BG64ZYDB016049B51JMUCU	38871658W	SEK	377.43
ME66621247978064842093	45566106R	534.21	USD
BH45AGIJDDMI1S7IVMPBYX	72652162S	SEK	352.86
GR142761949P1CZJZDJ2SYQNDI0	90467036D	SEK	989.41
Ninety nine rocks
LI4699421SNVZ5X6KXPLB	73364721B	SEK	358.82
GI27KKMIDQ6N3YVAQN4J89C	90028562F	DKK	693.9
TL336197208349896119319	56989796M	196.74	
BH45AGIJDDMI1S7IVMPBYX	72652162S	971.22	EUR
Ninety nine rocks
	SEK	795.83
SM97G79397716272U9A9OBTJV1J	61873424C	SEK	513.49
PT78461997729158096512493	56304499Q	EUR	906.34
