XK653384625153233371	43733112S	241.4	
DO38IL6559206363439644803826	45566106R	USD	684.16

SM16B78515997941NG37B30NHX4	61873424C	CHF	293.59
TR2157329MMDMDG60OOG1Z72R	15015307B	RUB	128.73
LB727383DAVS6MXT5L9CROS8UEUZ	39806689Z	USD	469.87
AL82864783232AY3OS32O9RUBQO8	92650070K	568.54	RUB
IR176571293272654756861852	49284913F	CHF	120.34
IE44RJQW49091678099855	78114389H	SEK	93.68
DE49048012355817038246	09651809C	RUB	757.42
GE69NB5057725923884251	68879644A	909.66	KK
FO3735876142209257	68959267T		727.3
ES5401017366906132602799	65092468F		
XK180068384138336739	53072757G	138.75	SEK
BG78BJUL967644HKNQNX4N	34712164N	RUB	762.3
IR171391265758083409634677	53597542K	SEK	910.08

ME16982539287692129889	39806689Z	CHF	841.02
PT30733844778295738083204	25605636N	N/A	RUB
BG78BJUL967644HKNQNX4N	34712164N	573.83	SEK
SM16B78515997941NG37B30NHX4	61873424C	CHF	237.03

Ninety nine rocks
BA073428119991458265	45820675Y		RUB
Ninety nine rocks
Ninety nine rocks
ME49140146493717009212	32775503C	CHF	973.76
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	GBP	543.33
TL312176758386021094474	45820675Y	725.51	SEK
SA35720BD63GIF2Y3O04T01F	11713644C	658.0	CHF
AL1705361571EZPDI0TZ70PXVG3H	46431533F	RUB	
ME49140146493717009212	32775503C		243.66
	EUR	212.24
TL336197208349896119319	56989796M	415.55	SEK
FI5863104861846787	72652162S	533.51	RUB
IR978633059983370222138180	02669410F	CHF	292.41
Ninety nine rocks
