FO8410656999415744	53072757G	823.18	USD
Ninety nine rocks
AT393914303396284	30008159Z	74.46	GBP
TL620919673122426560269	78592251D	797.99	SEK
BG78BJUL967644HKNQNX4N	34712164N	199.71	DKK
PK43OEM16114242963306575	41656686Y	USD	141.65
SA35720BD63GIF2Y3O04T01F	11713644C	CHF	
IR176571293272654756861852	49284913F	USD	993.86
		DKK
CY1226960690HWXS17VH1FRUEURR	38871658W	RUB	930.56
SA35720BD63GIF2Y3O04T01F	11713644C	CHF	924.05
IE44RJQW49091678099855	78114389H	417.17	RUB
MC842659327688NQYJW0V4CHU32	53597542K	USD	
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	365.57	CHF
IT44U2903617084Y19H207T8BFC	74853928Z	EUR	245.25
IL162768337079138447997	34532646D	DKK	140.29
RS73278076436469452645	61478341P		GBP
SI22734001141792429	92650070K	830.11	
PT30733844778295738083204	25605636N	USD	246.6
LT404680925845138006	33964464L	521.93	CHF
MK36877PHFLXB419P01	56989796M	499.58	GBP
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	685.47	CHF
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	109.06	
VG30C0J46457487530434592	74853928Z	651.2	USD
XK663155587271893003	01216279Q	EUR	54.06
GI27KKMIDQ6N3YVAQN4J89C	90028562F	168.16	EUR
XK959557362593526620	56989796M	DKK	731.86
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	EUR	911.39
UA964557479287233718409674295	78114389H	40.14	SEK
Ninety nine rocks
GE69NB5057725923884251	68879644A	DKK	516.94
Ninety nine rocks
GI19VETPFLRU0L1HZE6FI50	72652162S	567.29	GBP
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	GBP	
MC987944106826B9BN6WA3QT157	11713644C	EUR	821.2
SE8587388767724906814093	45566106R	DKK	418.56


EE709201509112700888	55103783S	SEK	106.55
CZ0277706812138182328590	32775503C	USD	824.49
Ninety nine rocks
MD358F69VEV6FZO01VOURO61	53072757G	USD	153.38
Ninety nine rocks
PK13DK7K1923908975902628	57926790W	75.25	RUB
ES5643056944669015895516	25605636N	EUR	533.36
SM59J4985929449INF26CCFYJ37	15449763L	CHF	696.21


ME91204415592058131974	28744101N	RUB	834.15
ES5643056944669015895516	25605636N	552.53	GBP
	SEK	346.07
SE8587388767724906814093	45566106R	857.63	USD

SA916624X9GG21M3UBMKVPVX	39670968Q	517.29	
KZ197834HFIDJLC1ZQWJ	43733112S	598.16	RUB
MC400682288485KUAY58STITO40	38871658W	DKK	136.28
Ninety nine rocks
LT638365534312873039	28047910P	DKK	562.17
FI4249627673709648	46585803Q	N/A	CHF
GI19VETPFLRU0L1HZE6FI50	72652162S	973.76	RUB
UA074704912616944389906174725	33964464L	807.0	RUB
IS980339257905051446545486	38871658W	135.88	DKK
VG4064KZ1023011179745755	45820675Y	CHF	708.11

IR171391265758083409634677	53597542K	CHF	504.54
GI27KKMIDQ6N3YVAQN4J89C	90028562F	GBP	550.91
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q	911.19	USD
DO38IL6559206363439644803826	45566106R	SEK	658.73
ME10920049706023941954	68879644A		807.14
IR510789771032621503621949	56989796M	RUB	869.75
BH13DAYWFNRJ0GN2RAA7UR	82288442P	889.59	CHF
IS980339257905051446545486	38871658W	743.85	GBP
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	841.58	SEK
TN4619849WRCEBMJKF33ZPWG	68959267T	USD	730.21
TR5428187TLTLTLWXSXNJBW98L	80518308T	CHF	
DO41KY9H93712983353200450117	08899412E	CHF	574.49

KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	GBP	214.57
FI8776565714806556	73364721B	SEK	845.0
BG52YAMZ2798316FA0S342	21211380K	RUE	990.72
PT98222714410307122371827	33964464L		DKK
GR142761949P1CZJZDJ2SYQNDI0	90467036D	USD	292.24
Ninety nine rocks
SM08B8001360827MH4HE8ZWQZXP	57926790W	992.62	DKK
PL09657112501393580868416806	80518308T	858.63	SEK
FR765595701119MOEGZPV5KXN70	68959267T	40.52	DKK
MC239817569615Z9IWH7FP0GD04	28744101N	960.48	GBP
		190.86
Ninety nine rocks
Ninety nine rocks
Ninety nine rocks
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q		USD
CH9054905KGSMB7YC5NGI	69578568A	475.22	GBP
IR050557230314417829966957	68879644A	RUB	143.1

SE4072059930724762036425	46585803Q	SEK	724.03
VG30C0J46457487530434592	74853928Z	886.86	CHF
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	211.84	DKK
ME16982539287692129889	39806689Z	EUR	723.36
FR4380461715659NWC070CZ6G58	90028562F	EUR	608.71
AL82864783232AY3OS32O9RUBQO8	92650070K		EUR
	GBP	8.23
AT515991783210824774	28047910P	CHF	514.84
KZ68819CZA89W15QWGWQ	45566106R	SEK	592.88
TN41642929RZ2WVDBTOBL2CI	56304499Q	CHF	

SE4072059930724762036425	46585803Q	469.01	DKK
GR472662377QRYWJJB76MDKWVY5	69578568A	CHF	865.37
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	GBP	710.36
GE76HG3429778839455413	01216279Q	DKK	376.13
UA538840557549114757901561455	69578568A	313.35	
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	CHF	19.39
TN5872164OGDBPYXG9LENMKY	32775503C	CHF	
IE92ZGTS39160560652552	82288442P	RUB	331.87
PK69L0BH8621817146060690	90028562F	CHF	797.42
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	750.6	CHF
TL833140836943039409693	82288442P		876.11
MD305P5NPXCZUJLRCMTKK88D	46585803Q	SEK	370.05
SM97G79397716272U9A9OBTJV1J	61873424C		773.88

LI4699421SNVZ5X6KXPLB	73364721B	GBP	577.96
AL4456909000GSUDO7J539MIJH1L	48974836Q	SEK	987.21
UA761330313560969297851033726	33964464L	835.97	USD
TN41642929RZ2WVDBTOBL2CI	56304499Q	171.37	RUB
SA6268DDJM7GA5WLMM1JRKJP	34532646D	GBP	998.6
BA384377280747809071	28047910P		412.37
RS73278076436469452645	61478341P	275.59	USD
ME16982539287692129889	39806689Z	EUR	973.57

JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	932.5	GBP
XK959557362593526620	56989796M	USD	842.84
IR171391265758083409634677	53597542K	968.06	
Ninety nine rocks
TR6389231PIDVKBEWMNZGSGERM	39670968Q	629.61	GBP
TL541166078438313575429	68879644A	EUR	69.64
UA964557479287233718409674295	78114389H	639.44	CHF
FR6886408378912CSCX6FNQDF88	46431533F		102.83
TN4619849WRCEBMJKF33ZPWG	68959267T	CHF	417.23
ME49140146493717009212	32775503C	KK	801.15
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	90.95	EUR
GI27KKMIDQ6N3YVAQN4J89C	90028562F		RUB
XK663155587271893003	01216279Q	CHF	719.18
MD22BLJACUIOIDPAPNN838U5	78592251D		623.37
FO9238258269917892	08899412E	N/A	CHF
HU13482232244537176441358119	53597542K	332.37	CHF
Ninety nine rocks
