
IR171391265758083409634677	53597542K	30.7	SEK
TN4619849WRCEBMJKF33ZPWG	68959267T	908.09	SEK
ES4962575910679067061475	82288442P	814.53	GBP
MC148366787383U6KBXX8ERM167	65092468F	RUB	993.84
Ninety nine rocks
ME10920049706023941954	68879644A		424.62
SK3641392995208681155858	52141397Y	EUR	713.96

SA6268DDJM7GA5WLMM1JRKJP	34532646D	USD	413.44
	702.14	USD
Ninety nine rocks
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	GBP	221.36
CY0781117102LP8DVMGW0B4W56	64900173Q	994.19	SEK
CZ7031956314160953199870	28744101N		CHF
Ninety nine rocks
DO757XIN61379289461304191141	21211380K	94.2	SEK
SK1489672683589923153342	21211380K	352.32	GBP
PL17431292989229184359170	13768868B	591.11	EUR
DO38IL6559206363439644803826	45566106R	106.51	GBP
NL22QHVX4830182943	02669410F	CHF	163.67
	911.73	RUB
GR472662377QRYWJJB76MDKWVY5	69578568A	RUB	565.64
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	RUB	383.85
LI4962509CEPXCTP4493V	90467036D	SEK	
Ninety nine rocks
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	805.7	GBP
HR1296219505926654396	34532646D	GBP	
CY1226960690HWXS17VH1FRUEURR	38871658W	EUR	420.49

ME16982539287692129889	39806689Z	927.8	SEK
HU13482232244537176441358119	53597542K	USD	10.62
UA538840557549114757901561455	69578568A		SEK
I208019814485992917854779	92320162A	EUR	361.42
SK3641392995208681155858	52141397Y	544.56	DKK
GI19VETPFLRU0L1HZE6FI50	72652162S	DKK	40.38
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N		DKK
FI5863104861846787	72652162S	CHF	867.01
PK13DK7K1923908975902628	57926790W	482.97	GBP
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	742.57	SEK
IL883543164433395339809	25605636N	869.36	EUR
UA538840557549114757901561455	69578568A	581.5	SEK
NL22QHVX4830182943	02669410F	76.62	CHF
IL055091996124285266508	09651809C	491.38	CHF
VG30C0J46457487530434592	74853928Z	205.12	SEK
CZ7031956314160953199870	28744101N	566.06	SEK
	82.36	SEK

MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S		GBP
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	689.17	USD
SM59J4985929449INF26CCFYJ37	15449763L	SEK	728.19
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	537.82	SEK
SK3641392995208681155858	52141397Y	SEK	553.48
LB944SVZ0C9V3ICN275EX4DO	20565847F	DKK	683.16
SA0994KFNAPS164YU9OOP574	57926790W	EUR	421.62
HR4850788821598398500	34712164N		825.7
UA964557479287233718409674295	78114389H	RUB	763.17
AD562291377791JAUCEU6WEV	73364721B	926.44	RUB
SA1782PK3NF0P8QAE54PWQE3	34712164N	76.35	RUB
PK69L0BH8621817146060690	90028562F	444.16	SEK
TN18118719KP723ZYRPADNG5	08899412E	RUB	
MR9765784658715364589276794	46431533F	343.14	USD
AL82864783232AY3OS32O9RUBQO8	92650070K		DKK
	CHF	855.3
	EUR	549.04
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	953.82	SEK
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	CHF	979.13
Ninety nine rocks
KZ94658KNDOP16GS0MQ8	43733112S	GBP	642.32
LT404680925845138006	33964464L	EUR	15.48
AE13938V4DMVSF49YS1CBL2	78592251D	DKK	328.82
AE13938V4DMVSF49YS1CBL2	78592251D	858.94	EUR
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	CHF	824.84
GR164360004BUQC9R2QU6WJNKZW	90467036D	EUR	445.26
SE8587388767724906814093	45566106R	554.1	CHF
TN5872164OGDBPYXG9LENMKY	32775503C	576.18	DKK
HR2198178476216192029	80518308T	430.19	SEK
HU13482232244537176441358119	53597542K	RUB	N/A
TL336197208349896119319	56989796M	USD	426.81
LI7752678886R565EPXUC	39670968Q	802.36	GBP

LT352161628775605252	52141397Y	USD	290.55
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S		RUB
GB62WGVI99163003599889	46431533F	SEK	931.66
GI27KKMIDQ6N3YVAQN4J89C	90028562F	56.96	SEK
Ninety nine rocks
GE76HG3429778839455413	01216279Q	688.56	USD
AL82864783232AY3OS32O9RUBQO8	92650070K	615.73	CHF

HU86965308947958059611096929	90028562F	RUB	881.34
LT404680925845138006	33964464L	N/A	USD
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	718.46	

		834.9
SE4072059930724762036425	46585803Q		688.91
	CHF	504.88
MD358F69VEV6FZO01VOURO61	53072757G	SEK	910.65
CH5486616JUSX9A78EG7Q	39806689Z	RUB	12.66
AD2206695671VH1ZHCJ41WML	34712164N	USD	786.19
ME49140146493717009212	32775503C	114.35	CHF
MC148366787383U6KBXX8ERM167	65092468F	RUB	242.55
CY1226960690HWXS17VH1FRUEURR	38871658W	EUR	545.08
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	GB	106.28
FI4249627673709648	46585803Q	CHF	
AD2206695671VH1ZHCJ41WML	34712164N		907.79
FR682539276248I8ZTO8DOJPN36	52141397Y	897.05	GBP
TL312176758386021094474	45820675Y	373.84	USD
BG78BJUL967644HKNQNX4N	34712164N	71.87	RUB
AL4456909000GSUDO7J539MIJH1L	48974836Q	N/A	CHF
PT78461997729158096512493	56304499Q	GBP	340.7
VG13VRDJ7412591474836722	80518308T	163.61	
IR510789771032621503621949	56989796M	USD	
MC842659327688NQYJW0V4CHU32	53597542K	SEK	749.57
DO757XIN61379289461304191141	21211380K	166.58	USD
MR9765784658715364589276794	46431533F	USD	199.15
Ninety nine rocks

FO9238258269917892	08899412E	331.29	CHF
MT34NXCN76766O1SFKIJILE5VI3PUQW	55103783S	CHF	111.35
ME91204415592058131974	28744101N	RUB	551.2

	784.73	SEK
