PK69L0BH8621817146060690	90028562F	EUR	217.42
HU22190225373946217712707979	09651809C		DKK
ES1651349876073379785110	25605636N		973.44
	938.71	SEK
XK180068384138336739	53072757G	RUB	
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	274.64	CHF
FI8776565714806556	73364721B	679.11	CHF
FO9238258269917892	08899412E	CHF	368.13
LT638365534312873039	28047910P	579.79	CHF
CZ7031956314160953199870	28744101N	979.41	RUB
Ninety nine rocks
IL055091996124285266508	09651809C	167.53	EUR
ME66621247978064842093	45566106R	539.38	DKK
SI22734001141792429	92650070K	DKK	995.83
Ninety nine rocks
FO3735876142209257	68959267T	63.92	SEK
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	886.19	GBP
MC842659327688NQYJW0V4CHU32	53597542K	CHF	371.2
LI1878690NFPCE8D5010B	15449763L	CHF	179.64
FI8497437259092369	92650070K	CFH	
N48EEWA1302586716	72805644L	384.79	RUB
TN18118719KP723ZYRPADNG5	08899412E	167.38	EUR
CZ7031956314160953199870	28744101N	600.64	SEK

TN18118719KP723ZYRPADNG5	08899412E	DKK	
LT638365534312873039	28047910P	851.57	RUB
Ninety nine rocks
PT30733844778295738083204	25605636N	RUB	877.18
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	12.33	SEK
Ninety nine rocks
Ninety nine rocks
	41.85	SEK
	16.68	
XK180068384138336739	53072757G	CHF	5.47
HR2198178476216192029	80518308T	194.91	EUR
	742.22	USD
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	SEK	95.37
