Ninety nine rocks
Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D	643.39	KES

TN4619849WRCEBMJKF33ZPWG	68959267T	193.47	USD
LI1878690NFPCE8D5010B	15449763L	763.77	RUB
LT352161628775605252	52141397Y	EUR	97.4
CH5486616JUSX9A78EG7Q	39806689Z	GB	616.92
IS980339257905051446545486	38871658W	618.92	USD
MC987944106826B9BN6WA3QT157	11713644C	447.83	USD
TR5428187TLTLTLWXSXNJBW98L	80518308T	909.21	RUB
ES1651349876073379785110	25605636N	657.23	USD
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	CHF	160.63
FI4249627673709648	46585803Q	685.93	SEK
LI7752678886R565EPXUC	39670968Q	DKK	869.53
IE96EEMA36946143714469	49284913F	325.63	CHF
PT98222714410307122371827	33964464L	RUB	692.72
	296.24	CHF
GR142761949P1CZJZDJ2SYQNDI0	90467036D		994.85
FR6886408378912CSCX6FNQDF88	46431533F	574.18	RUB
	293.11	USD
TL833140836943039409693	82288442P	USD	940.8
Ninety nine rocks
ES4962575910679067061475	82288442P	668.73	GBP
LB957793SEUSHVA7QADC5597XVCS	15449763L	851.9	RUB
SM97G79397716272U9A9OBTJV1J	61873424C	GBP	
