AL82864783232AY3OS32O9RUBQO8	92650070K	USD	973.13
TN4619849WRCEBMJKF33ZPWG	68959267T	338.46	CHF
CR3128580029806078268	90467036D		N/A
MK36877PHFLXB419P01	56989796M	198.75	CHF
Ninety nine rocks
CZ7031956314160953199870	28744101N	RUB	
SK1869924870144967819542	57926790W	EUR	195.85
GI17LYNGZKK9MTLT9XS0KXJ	56304499Q	CHF	
XK653384625153233371	43733112S		544.95
PT78461997729158096512493	56304499Q	CHF	345.99
AE13938V4DMVSF49YS1CBL2	78592251D	266.93	CHF
AL1705361571EZPDI0TZ70PXVG3H	46431533F		272.52

	111.93	EUR
PS81UPRPND78AFG3L49YTXV88RRJS	01216279Q		999.46
FR4380461715659NWC070CZ6G58	90028562F	356.59	SEK
MC239817569615Z9IWH7FP0GD04	28744101N		689.16
Ninety nine rocks
