LV90GZABEFC7YL8CKPRIT	45820675Y	EUR	427.28
TL312176758386021094474	45820675Y		412.16
LT404680925845138006	33964464L	805.48	DKK

LI1878690NFPCE8D5010B	15449763L	348.97	EUR
Ninety nine rocks
IL055091996124285266508	09651809C	4.07	DKK
VG30C0J46457487530434592	74853928Z	838.94	GBP
Ninety nine rocks
ES4962575910679067061475	82288442P	CHF	72.74
Ninety nine rocks
GE76HG3429778839455413	01216279Q	142.53	
SM16B78515997941NG37B30NHX4	61873424C	RUB	632.04
	530.91	SEK
MD22BLJACUIOIDPAPNN838U5	78592251D	265.56	DKK
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	139.25	USD
IT44U2903617084Y19H207T8BFC	74853928Z	415.93	DKK
ES4718187575330891239993	61478341P	CHF	495.2
MD358F69VEV6FZO01VOURO61	53072757G	RUB	165.52
IL757354520133364453852	55103783S	USD	37.5
ME49140146493717009212	32775503C	211.25	SEK
SA916624X9GG21M3UBMKVPVX	39670968Q	424.87	CHF
PK13DK7K1923908975902628	57926790W	CHF	411.08
TN41642929RZ2WVDBTOBL2CI	56304499Q	235.06	CHF
IR171391265758083409634677	53597542K	560.57	RUB
SK3641392995208681155858	52141397Y	23.59	CHF
GB62WGVI99163003599889	46431533F	GBP	109.43
HU15418903579542555773697655	48974836Q	220.05	CHF
DO757XIN61379289461304191141	21211380K	243.14	GBP
CZ0277706812138182328590	32775503C	EUR	N/A
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	EUR	670.62

BG64ZYDB016049B51JMUCU	38871658W	101.82	
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	52.14	USD

LI4699421SNVZ5X6KXPLB	73364721B	EUR	115.03
SK1869924870144967819542	57926790W	118.27	
IS980339257905051446545486	38871658W	561.09	SEK
UA964557479287233718409674295	78114389H	869.77	USD
CZ1548502965088257735371	11713644C	RUB	731.35
LI4962509CEPXCTP4493V	90467036D	USD	814.75
MK36877PHFLXB419P01	56989796M	CHF	614.43
FR4380461715659NWC070CZ6G58	90028562F	GBP	390.64
ES5643056944669015895516	25605636N	USD	

SA6268DDJM7GA5WLMM1JRKJP	34532646D	EUR	515.59
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	SEK	45.38
VG13VRDJ7412591474836722	80518308T	185.23	EUR
PS45YNKIG26Y96UJEQI1896LVD9ZG	61478341P	115.1	RUB
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C	80.94	RUB
FR067375965728LIMCBIKY04Q10	69578568A		RUB
	USD	230.42
	DKK	392.08
GB62WGVI99163003599889	46431533F	218.44	GBP
TN18118719KP723ZYRPADNG5	08899412E	663.07	
MC987944106826B9BN6WA3QT157	11713644C	886.61	SEK
Ninety nine rocks
PL09657112501393580868416806	80518308T	389.66	DKK
AD562291377791JAUCEU6WEV	73364721B	661.11	DKK
BH45AGIJDDMI1S7IVMPBYX	72652162S	298.56	EUR
FO9238258269917892	08899412E	CHF	174.79
FR765595701119MOEGZPV5KXN70	68959267T	329.52	SEK
AL4456909000GSUDO7J539MIJH1L	48974836Q	285.34	GBP
LB863652PCCJG32R1PC8OE2VMAY7	17277755V	779.65	EUR
Ninety nine rocks
AT515991783210824774	28047910P	756.3	DKK
Ninety nine rocks

MC148366787383U6KBXX8ERM167	65092468F	786.01	SEK

VG13VRDJ7412591474836722	80518308T	EUR	901.48
TN4619849WRCEBMJKF33ZPWG	68959267T	DKK	73.95
MD305P5NPXCZUJLRCMTKK88D	46585803Q		680.83
IR171391265758083409634677	53597542K	313.83	GBP
MC842659327688NQYJW0V4CHU32	53597542K	USD	128.28
		629.51
LT352161628775605252	52141397Y	879.93	RUB
ME66621247978064842093	45566106R		828.16
Ninety nine rocks
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	886.37	USD
CH5486616JUSX9A78EG7Q	39806689Z	720.01	RUB
EE951921847242977559	61873424C	62.37	SEK
PK43OEM16114242963306575	41656686Y	474.94	EUR
ES5968395510953649142207	34532646D	GBP	812.51
UA761330313560969297851033726	33964464L	746.0	
TN5872164OGDBPYXG9LENMKY	32775503C		EUR
XK959557362593526620	56989796M	GBP	983.67

TR5428187TLTLTLWXSXNJBW98L	80518308T	CHF	639.55
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	GBP	556.74
PT30733844778295738083204	25605636N		
AE77248SKMXJVII50LKBAWI	68959267T	981.54	DKK
TL541166078438313575429	68879644A	USD	1.95

VG4064KZ1023011179745755	45820675Y	N/A	GBP
PT98222714410307122371827	33964464L	972.94	DKK
BH45AGIJDDMI1S7IVMPBYX	72652162S	741.55	GBP
DO41KY9H93712983353200450117	08899412E	DKK	602.29
MD22BLJACUIOIDPAPNN838U5	78592251D	DKK	191.95
TL620919673122426560269	78592251D	454.12	EUR
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	478.4	RUB
ES5643056944669015895516	25605636N	GBP	62.99
SA6268DDJM7GA5WLMM1JRKJP	34532646D	693.43	CHF
VG4064KZ1023011179745755	45820675Y	174.68	DKK
FR765595701119MOEGZPV5KXN70	68959267T	280.09	EUR
BH45AGIJDDMI1S7IVMPBYX	72652162S	766.14	USD
QA50TIBVV8D03D6XB0O0LHISHXK05	55103783S	897.55	DKK

ES4718187575330891239993	61478341P	734.71	USD
TN7518061OKRNCJT8R1JWAN	33977346E	GBP	760.31
ES1359823640102827616922	08899412E	231.06	USD
SI22734001141792429	92650070K	921.41	SEK
AL1705361571EZPDI0TZ70PXVG3H	46431533F	CHF	510.07
SA6268DDJM7GA5WLMM1JRKJP	34532646D	736.58	EUR
	USD	88.69
Ninety nine rocks


FI5863104861846787	72652162S	153.34	CHF
KW92WZTF4BVCQHIZZCKSWDE2Y4WG5K	78114389H	747.82	EUR
PK19XXR25392269503727898	65092468F	831.19	GBP
AE77248SKMXJVII50LKBAWI	68959267T	348.3	CHF
AD6527527677TJCTJOHBQLKJ	61873424C	RUB	
EE709201509112700888	55103783S	390.59	CHF
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	CHF	345.7
DE09062364227116961150	46585803Q	GBP	126.89
PT30733844778295738083204	25605636N	622.03	DKK
FO3735876142209257	68959267T	GBP	37.67
FR765595701119MOEGZPV5KXN70	68959267T	999.17	CHF
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	83.27	SEK
Ninety nine rocks
GR142761949P1CZJZDJ2SYQNDI0	90467036D		USD
IR978633059983370222138180	02669410F	753.64	USD
	N/A	SEK
GR472662377QRYWJJB76MDKWVY5	69578568A	GBP	219.15
