AD2206695671VH1ZHCJ41WML	34712164N	610.87	SEK
FO9238258269917892	08899412E	114.31	USD
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	SEK	267.41
FR765595701119MOEGZPV5KXN70	68959267T	314.55	USD
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	RUB	426.15
GB62WGVI99163003599889	46431533F	EUR	874.05
AZ23VQPCOE64XI70OBYRJPI8MSW9	32884971P	USD	993.0
GE69NB5057725923884251	68879644A	984.2	USD
GE16KV3003565361053066	78114389H	577.85	

FO9238258269917892	08899412E	EUR	228.62
LI4699421SNVZ5X6KXPLB	73364721B	455.11	CHF
AL1705361571EZPDI0TZ70PXVG3H	46431533F	SEK	890.5
SM08B8001360827MH4HE8ZWQZXP	57926790W	115.14	USD
HU88554127611364623376554	63308895Q	GBP	556.11
SA35720BD63GIF2Y3O04T01F	11713644C	419.43	EUR
GE16KV3003565361053066	78114389H	828.85	DKK
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	DKK	432.34
Ninety nine rocks
	690.08	USD
NL22QHVX4830182943	02669410F	850.27	EUR
	SEK	620.26
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	194.53	GBP
SM97G79397716272U9A9OBTJV1J	61873424C	45.08	USD
RO10CYGJ0LFID9N0E6VIBWJV	32884971P	SEK	755.51
Ninety nine rocks
TN18118719KP723ZYRPADNG5	08899412E	SEK	692.61
XK959557362593526620	56989796M	EUR	368.24
MU29T5TNJZ781M97YNZRTI6RLPFDOO	48974836Q	USD	270.12
PK19XXR25392269503727898	65092468F	RUB	525.52
NL97CVWG3195927181	02669410F	USD	770.64
DO41KY9H93712983353200450117	08899412E	285.12	DKK
ES1651349876073379785110	25605636N	726.71	
BG64ZYDB016049B51JMUCU	38871658W		DKK
FO3735876142209257	68959267T		GBP
UA964557479287233718409674295	78114389H	EUR	958.13
MD22BLJACUIOIDPAPNN838U5	78592251D		108.67
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	CHF	916.78
PK43OEM16114242963306575	41656686Y	USD	969.32
MT44LAHV55416H6X8AOMBZWV07DCS6V	32884971P	GBP	384.26
AL4456909000GSUDO7J539MIJH1L	48974836Q	USD	787.86
Ninety nine rocks
MD358F69VEV6FZO01VOURO61	53072757G	USD	606.53
PT98222714410307122371827	33964464L	730.57	DKK
Ninety nine rocks
KZ68819CZA89W15QWGWQ	45566106R	407.59	USD

MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	EUR	827.49
XK653384625153233371	43733112S	CHF	713.21
ES1651349876073379785110	25605636N	RUB	138.59
PT37281327637474277008	57171775D	896.84	EUR
EE951921847242977559	61873424C	USD	273.58
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	920.19
	311.7	EUR
Ninety nine rocks
UA761330313560969297851033726	33964464L	938.05	RUB
GB62WGVI99163003599889	46431533F	365.37	
DO757XIN61379289461304191141	21211380K	172.22	


MC148366787383U6KBXX8ERM167	65092468F	982.6	USD
MC148366787383U6KBXX8ERM167	65092468F	830.14	USD
FR682539276248I8ZTO8DOJPN36	52141397Y	SEK	657.79
IR978633059983370222138180	02669410F	28.99	RUB
	EUR	937.61
CZ0277706812138182328590	32775503C	425.79	
PT78461997729158096512493	56304499Q	346.65	GBP
TL336197208349896119319	56989796M	USD	252.65
ES5968395510953649142207	34532646D	DKK	302.44
DO41KY9H93712983353200450117	08899412E	USD	631.03
SM16B78515997941NG37B30NHX4	61873424C	95.55	USD
	USD	485.98
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y	SEK	163.19
IE44RJQW49091678099855	78114389H	985.16	GBP
SM16B78515997941NG37B30NHX4	61873424C		393.84
LB1973319KE10XCDX8FJFK6N1CL	67707899V	USD	843.07
MR9765784658715364589276794	46431533F	847.49	RUB
IL757354520133364453852	55103783S		167.84
