GE53AZ610262580468870	53275144S	721.48	
PT98222714410307122371827	33964464L		RUB
GI27KKMIDQ6N3YVAQN4J89C	90028562F	EUR	645.0
LI4699421SNVZ5X6KXPLB	73364721B	621.08	EUR
VG13VRDJ7412591474836722	80518308T	SEK	251.95
AL4456909000GSUDO7J539MIJH1L	48974836Q	GBP	931.89

Ninety nine rocks
SA6268DDJM7GA5WLMM1JRKJP	34532646D	878.94	SEK
	SEK	702.7
BH45AGIJDDMI1S7IVMPBYX	72652162S	769.9	SEK
SI22734001141792429	92650070K		USD
TN4619849WRCEBMJKF33ZPWG	68959267T	DKK	986.11
	DKK	908.46
GT392716ANETYSFICAVN0ZTRPZ3Q	21211380K	459.66	CHF
FO8410656999415744	53072757G	SEK	462.04
PK13DK7K1923908975902628	57926790W	RUB	605.32
MC987944106826B9BN6WA3QT157	11713644C	DKK	894.12

EE709201509112700888	55103783S	281.19	DKK



	184.91	EUR
DO757XIN61379289461304191141	21211380K		895.68
GI19VETPFLRU0L1HZE6FI50	72652162S	SEK	558.5
SK1489672683589923153342	21211380K	254.07	
TL833140836943039409693	82288442P	324.25	CHF
Ninety nine rocks
VG30C0J46457487530434592	74853928Z		193.09
ME49140146493717009212	32775503C	GBP	88.81
ME91204415592058131974	28744101N		931.59
FO9238258269917892	08899412E	CHF	
AE13938V4DMVSF49YS1CBL2	78592251D	SEK	230.33

HU15418903579542555773697655	48974836Q	42.39	GBP
Ninety nine rocks
RO33ZPAVO2BG1ZC8UHN2ZTAN	09651809C	RUB	N/A

AE77248SKMXJVII50LKBAWI	68959267T		GBP
IR171391265758083409634677	53597542K	CHF	316.35
TR5428187TLTLTLWXSXNJBW98L	80518308T	643.85	GBP
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	902.45	RUB
MC239817569615Z9IWH7FP0GD04	28744101N	123.6	RUB

RO10CYGJ0LFID9N0E6VIBWJV	32884971P		KES
ES5968395510953649142207	34532646D	GBP	979.21
LI4962509CEPXCTP4493V	90467036D	GBP	26.93
IR176571293272654756861852	49284913F	USD	887.66
LB957793SEUSHVA7QADC5597XVCS	15449763L	CHF	104.08
	903.18	SEK
KZ90695VI2TE75L9IRE	58808393Q		
UA538840557549114757901561455	69578568A	SEK	717.32
SA6268DDJM7GA5WLMM1JRKJP	34532646D	595.98	SEK
TN5872164OGDBPYXG9LENMKY	32775503C	GBP	90.67
GE69NB5057725923884251	68879644A	DKK	629.66
SA1782PK3NF0P8QAE54PWQE3	34712164N	RUB	142.92
DO757XIN61379289461304191141	21211380K		
SE4072059930724762036425	46585803Q	USD	486.32
BH13DAYWFNRJ0GN2RAA7UR	82288442P	688.78	RUB
VG4064KZ1023011179745755	45820675Y	RUB	555.04
KW80QLLEQ6JGXNI84EU5IFJSWMCJ08	01216279Q	608.38	DKK
TN18118719KP723ZYRPADNG5	08899412E	214.93	RUB
MC987944106826B9BN6WA3QT157	11713644C	CHF	777.51
VG13VRDJ7412591474836722	80518308T	SEK	762.78

FI1291198425298593	78592251D	N/A	SEK
	924.52	EUR
VG4064KZ1023011179745755	45820675Y	113.77	RUB
IT44U2903617084Y19H207T8BFC	74853928Z	USD	568.12

TN41642929RZ2WVDBTOBL2CI	56304499Q	CHF	978.53


AL1705361571EZPDI0TZ70PXVG3H	46431533F	DKK	570.09
FO3735876142209257	68959267T	764.01	DKK
TN5872164OGDBPYXG9LENMKY	32775503C	RUB	
MR9765784658715364589276794	46431533F	154.41	SEK
RO65KGTHSTLS31I6TW9Q4TX9	39670968Q	CHF	
TN41642929RZ2WVDBTOBL2CI	56304499Q	SEK	869.41
ES5401017366906132602799	65092468F		738.95
	160.17	RUB
CZ1548502965088257735371	11713644C	179.9	GBP
SI22734001141792429	92650070K	EUR	128.14
MC400682288485KUAY58STITO40	38871658W	GBP	163.75
IE44RJQW49091678099855	78114389H	GBP	
AL1705361571EZPDI0TZ70PXVG3H	46431533F	CHF	368.21
FR4380461715659NWC070CZ6G58	90028562F	728.83	EUR
HR1296219505926654396	34532646D	355.38	SEK
IS171554950920843049747431	32884971P	USD	267.71
NL33WKOJ433262802	38644334B	EUR	447.98
FR4380461715659NWC070CZ6G58	90028562F	USD	57.06
AT515991783210824774	28047910P	RUB	
	932.31	GBP
AD6527527677TJCTJOHBQLKJ	61873424C	951.02	USD
BA384377280747809071	28047910P	269.09	CHF
	74.05	RUB
IR176571293272654756861852	49284913F	CHF	757.33

ME66621247978064842093	45566106R	SEK	822.78
FI1291198425298593	78592251D	EUR	303.17
XK959557362593526620	56989796M	728.97	CHF
SA916624X9GG21M3UBMKVPVX	39670968Q	851.86	
	GBP	357.58
SA1782PK3NF0P8QAE54PWQE3	34712164N	SEK	795.17
BG64ZYDB016049B51JMUCU	38871658W	DKK	501.76
FI8776565714806556	73364721B	167.57	SEK
IL162768337079138447997	34532646D	GBP	326.18
	GBP	688.57
	394.66	EUR
JO68GPJQ2426XTVZ0E3DAVO0QBYJ9M	32775503C		225.21
Ninety nine rocks
LB957793SEUSHVA7QADC5597XVCS	15449763L		EUR
RO04BTTFP86ME0FGGC5E3YH	90324012T	CHF	876.22
AZ98MLTUT3LUOXZG36AWZRCNC8L0	28744101N	991.0	GBP
IS171554950920843049747431	32884971P	DKK	272.75
GT58ZXMPYHQS6C3Y4JIZF0VOF0V5	74853928Z	EUR	
	87.14	DKK
IS171554950920843049747431	32884971P	N/A	EUR
LV90GZABEFC7YL8CKPRIT	45820675Y	USD	854.9
Ninety nine rocks
BG78BJUL967644HKNQNX4N	34712164N		69.24
DE49048012355817038246	09651809C		GBP
PT98222714410307122371827	33964464L	872.0	RUB
DE09062364227116961150	46585803Q	145.65	GBP
LT352161628775605252	52141397Y	CHF	351.27
TL336197208349896119319	56989796M	SEK	N/A
ME91204415592058131974	28744101N	995.5	EUR
UA964557479287233718409674295	78114389H	RUB	4.82
IT90H5711291332703M1NFOWKRD	17277755V	N/A	GBP
SM59J4985929449INF26CCFYJ37	15449763L	26.43	EUR
CY1226960690HWXS17VH1FRUEURR	38871658W	USD	487.83
