
CR4034466866742477204	92650070K	310.22	CHF
IT44U2903617084Y19H207T8BFC	74853928Z	879.75	EUR
AL1705361571EZPDI0TZ70PXVG3H	46431533F	444.47	SEK
GB62WGVI99163003599889	46431533F	530.4	SEK
FO8410656999415744	53072757G	RUB	270.31
TL620919673122426560269	78592251D	DKK	837.79
	37.42	EUR
BE71843948421221	41656686Y	678.12	SEK

FI8776565714806556	73364721B	DKK	

TN41642929RZ2WVDBTOBL2CI	56304499Q	430.73	GBP
MC842659327688NQYJW0V4CHU32	53597542K	318.9	USD
DO38IL6559206363439644803826	45566106R	939.81	
BA073428119991458265	45820675Y	DKK	345.99
PS77KKGXNUMH1YA62JUT3JBNKRFZV	52141397Y		541.27
FO9238258269917892	08899412E	CHF	612.52

ES5401017366906132602799	65092468F	EUR	538.08

LI4699421SNVZ5X6KXPLB	73364721B	SEK	144.67
PT98222714410307122371827	33964464L	376.87	GBP
TN18118719KP723ZYRPADNG5	08899412E	DKK	397.54
FO8410656999415744	53072757G	349.9	CHF
SK1489672683589923153342	21211380K	636.71	GBP
FR067375965728LIMCBIKY04Q10	69578568A	GBP	229.98
GT95XJQPLCNFLN4A5ENS375WUA0N	49284913F	698.83	DKK
HR1296219505926654396	34532646D	DKK	164.79
Ninety nine rocks
IT90H5711291332703M1NFOWKRD	17277755V	RUB	513.58
Ninety nine rocks
CH5486616JUSX9A78EG7Q	39806689Z	SEK	52.96
TL620919673122426560269	78592251D	228.18	USD
KW92VCWH1OGEW7Y08MMNQ471KNRB	41876379G	818.61	CHF

ES1651349876073379785110	25605636N	SEK	855.4
KZ68819CZA89W15QWGWQ	45566106R	SEK	725.5
	DKK	833.82
CZ7031956314160953199870	28744101N	815.64	
TL336197208349896119319	56989796M	GBP	297.23

IR978633059983370222138180	02669410F	793.7	RUB
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	GBP	328.65
PK69L0BH8621817146060690	90028562F	DKK	696.11
ES1359823640102827616922	08899412E		USD
SK3641392995208681155858	52141397Y	946.16	CHF
SA6268DDJM7GA5WLMM1JRKJP	34532646D		GBP
	RUB	221.08
