VG13VRDJ7412591474836722	80518308T	174.38	CHF

	EUR	743.86
AT515991783210824774	28047910P	USD	152.06
BE71843948421221	41656686Y	USD	
SK7685939604189549058799	15449763L	DKK	76.51
IL055091996124285266508	09651809C	760.09	RUB
UA761330313560969297851033726	33964464L	491.99	USD
LB957793SEUSHVA7QADC5597XVCS	15449763L	RUB	615.72
AD6527527677TJCTJOHBQLKJ	61873424C	SEK	116.11
TN4619849WRCEBMJKF33ZPWG	68959267T	743.62	EUR
IS980339257905051446545486	38871658W	CHF	541.4
LT352161628775605252	52141397Y	773.53	EUR
FR067375965728LIMCBIKY04Q10	69578568A	EUR	88.2
SA6268DDJM7GA5WLMM1JRKJP	34532646D	SEK	487.23
HR0716993961872852399	65092468F		EUR
MU05VA7ICT54ZRE969EE52P89NDSB4	39806689Z	SEK	447.23
RO66NQJWHJXL3G77OY7LJ6BA	56304499Q	CHF	732.35
GI19VETPFLRU0L1HZE6FI50	72652162S	611.79	CHF
FR682539276248I8ZTO8DOJPN36	52141397Y		233.77
GI27KKMIDQ6N3YVAQN4J89C	90028562F		RUB
NL22QHVX4830182943	02669410F	CHF	665.26
FI1291198425298593	78592251D	745.46	SEK
AL82864783232AY3OS32O9RUBQO8	92650070K	643.09	USD
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	SEK	902.9
AE13938V4DMVSF49YS1CBL2	78592251D	342.2	USD
VG4064KZ1023011179745755	45820675Y	GBP	142.19
Ninety nine rocks
ME10920049706023941954	68879644A	74.62	DKK
GR142761949P1CZJZDJ2SYQNDI0	90467036D	RUB	
TL833140836943039409693	82288442P	756.49	GB
VG4064KZ1023011179745755	45820675Y	885.0	GBP
	USD	302.21
ME66621247978064842093	45566106R	159.96	GBP
	135.96	USD
LT206097247476437800	43733112S	610.71	RUB
FR6886408378912CSCX6FNQDF88	46431533F	EUR	
IL055091996124285266508	09651809C	428.68	
BE44640395214523	02669410F	CFH	851.58
BE71843948421221	41656686Y		84.72
	953.34	RUB
MK36877PHFLXB419P01	56989796M	286.29	RUB
PK19XXR25392269503727898	65092468F	57.7	DKK
GE16KV3003565361053066	78114389H	SEK	395.76
IR050557230314417829966957	68879644A	EUR	413.9
XK653384625153233371	43733112S	278.74	DKK
