XK663155587271893003	01216279Q	409.96	DKK
HU22190225373946217712707979	09651809C		
	USD	669.91
BH45AGIJDDMI1S7IVMPBYX	72652162S	RUB	403.57
	SEK	696.62
DO41KY9H93712983353200450117	08899412E	360.85	GBP
FR4380461715659NWC070CZ6G58	90028562F	RUB	188.76

BR7290090080963467151419029U2	28047910P	CHF	671.95
Ninety nine rocks
NL22QHVX4830182943	02669410F	162.39	SEK

FR6886408378912CSCX6FNQDF88	46431533F	CHF	144.46
Ninety nine rocks
GI95QSFP1CEJ7UBTHFJKTIT	17277755V	EUR	
FR4380461715659NWC070CZ6G58	90028562F	CHF	933.46
	EUR	79.6
IL162768337079138447997	34532646D	EUR	
LI4962509CEPXCTP4493V	90467036D	RUB	767.44
	138.01	
FI8776565714806556	73364721B	496.19	GBP
LI1878690NFPCE8D5010B	15449763L	422.0	CHF
MU18NWTZQI15SJF9J3A3FGQ51SLZ8I	11713644C	RUB	943.09
FR682539276248I8ZTO8DOJPN36	52141397Y	RUB	448.68
AD2206695671VH1ZHCJ41WML	34712164N	CHF	766.14
PK13DK7K1923908975902628	57926790W	490.55	CHF
BA073428119991458265	45820675Y	776.77	CHF
PK13DK7K1923908975902628	57926790W	DKK	715.06
SA0994KFNAPS164YU9OOP574	57926790W	969.38	RUB
LB117881AYRJ3PAE7OLX1S8KY9XX	72652162S	SEK	201.31
Ninety nine rocks
IL055091996124285266508	09651809C	RUB	200.33
IL162768337079138447997	34532646D		CHF
	575.51	CHF
VG13VRDJ7412591474836722	80518308T	RUB	
IR978633059983370222138180	02669410F	DKK	250.4
	EUR	696.38
TN18118719KP723ZYRPADNG5	08899412E	CHF	995.81
VG30C0J46457487530434592	74853928Z	USD	599.71

