EE709201509112700888	55103783S	94.0	DKK
	SEK	600.48
FI1291198425298593	78592251D	597.7	GBP
IR978633059983370222138180	02669410F	CHF	704.39
	GBP	845.72
TL312176758386021094474	45820675Y	588.6	
SK7685939604189549058799	15449763L		73.12
	USD	63.19
AE48725YPOSTSU1LAQKZEPP	48974836Q	GBP	698.01
SK7685939604189549058799	15449763L	GBP	483.32
SA35720BD63GIF2Y3O04T01F	11713644C		EUR
NL97CVWG3195927181	02669410F	187.64	EUR
PL09657112501393580868416806	80518308T	841.97	USD
LT352161628775605252	52141397Y	298.76	EUR
IR171391265758083409634677	53597542K	DKK	155.98
Ninety nine rocks
XK959557362593526620	56989796M	791.04	CHF
BE71843948421221	41656686Y		GBP
		220.68
MD305P5NPXCZUJLRCMTKK88D	46585803Q	38.33	USD
